AKK	ENG	Frequency
LUGAL	king	2
šur-kam	grant	1
be-lí	of lord	1
⸢KI⸣ TIN TIR	of Babylon	1
DUMU	son of	1
d AG-IBILA-ÙRU	Nabopolassar	1
TIN TIR KI	of Babylon	1
a-na-ku	I	1
su-le-e	street	1
ba-bi-lu ⸢KI	of Babylon	1
a⸣-na	for	1
ša-da-ḫa	procession	1
GAL	great	1
⸢da⸣-rí-a	long	1
d AMAR ⸢UTU⸣	Marduk	1
ina	with	1
SIG₄	slab	1
NA₄	of stone	1
KUR	from mountain	1
ú-ban-⸢na⸣-a	I beautified	1
tal-la-ak-ti	access way	1
d ⸢AMAR UTU⸣	Marduk	1
be-lí	my lord	1
TIN	life	1
d ⸢AG-ku-dúr⸣-ru-ú-⸢ṣur⸣	Nebuchadnezzar	1
