AKK	ENG	Frequency
LUGAL	king	2
i-na	in	2
mé-e	water	2
mé-e	of water	2
ina	in	1
⸢da-rí-ú-tim⸣	of everlasting	1
nu-uḫ-šu	abundance	1
i-na	By	1
li-ib-⸢bu⸣- uš-šu	heart	1
ul-li-i	earlier	1
⸢aq-qá⸣-a	I poured out	1
⸢ki⸣-i-num	legitimate	1
d A-⸢É⸣	Mār-bīti	1
a-⸢kà⸣- dè ⸢KI⸣	of Aga de	1
⸢LUGAL⸣	king	1
d NÈ ERI₁₁ GAL-LUGAL-ú-ṣu-úr	Neriglissar	1
da-mi-iq-ti	goodness	1
⸢li⸣-ib-bi-ši-na	their hearts	1
nu-⸢uḫ-šu⸣	abundance	1
⸢u₄ -mu	time	1
KÁ DINGIR RA KI	Babylon	1
⸢ša⸣	which	1
ḫé-gal-⸢la⸣	plentitude	1
e-em-qá	wise	1
mu-ut-né-en-nu	pious	1
pa-⸢li-ḫu⸣	to revere	1
DINGIR DINGIR	gods	1
mu-du-uʾ	knows how	1
⸢li-bi-il-ḫé-gál-lu⸣	Lībil-ḫegalla	1
ú-ša-aḫ-ri-⸢ma⸣	I had re dug	1
ma-a-⸢ti⸣	land	1
d AMAR UTU	of Marduk	1
e-re-bi- ma	can enter	1
ab-na-a	I re constructed	1
⸢su⸣- uk -⸢ki-ša⸣	b a nk	1
nu-⸢uḫ⸣-ši	abundance	1
la⸣ na-pa-ar-ku-ti	of ceaseless	1
ú-ki-in	I firmly established	1
⸢i-na⸣ qé-re-eb-šu	inside	1
a-ši-ib	reside	1
qí-bi-ti	command	1
IGI TAB	Collated	1
da-ra-ti	eternity	1
ša	of	1
a-na	while	1
nu- wu -⸢rí⸣- im	s hi nin g	1
ṣa-al-ma-at qá-qá-dam	black-headed	1
li-iḫ- du-ù	be ha ppy	1
d AG	Nabû	1
LUGAL ⸢LUGAL⸣	kin gs	1
ki -⸢ib⸣-ra-a-ti	re gions	1
ka-al	entire	1
⸢ni-ip-ḫi⸣	rising	1
⸢te⸣-né-še-e-ti	inhabited	1
a-ši-ib	who sit on	1
dan-nu-ti	strong	1
a-na	for	1
li-iš-ša-kin	be placed	1
pi-i-⸢ka⸣	your mouth	1
a-na	For	1
d UTU	sun	1
a-na	when	1
DINGIR DINGIR	of gods	1
u₄-um	day	1
DINGIR	god	1
ba-nu- ú-a	who creat ed me	1
ù	and	1
d èr-ra	Erra	1
qar-ra-ad	warrior	1
⸢qar⸣- ra-de	of war riors	1
še-ri-šu	his morning	1
li-ku-⸢un-ma⸣	be firmly in place	1
d 30	moon	1
dam-⸢qá⸣- a -ti	good thi ng s	1
maḫ-⸢rí⸣- ka	before	1
⸢re-ʾu-ú-ti	shepherdship	1
li-na-ar	may he kill	1
a-a-bi-⸢šu⸣	his enemies	1
ta-mar-ti-šu	his appearance	1
li-na-am-ri	shine	1
ki-ma	like	1
ia-ti	me	1
