AKK	ENG	Frequency
ù	and	7
BÀD	wall	5
a-gur-ri	baked brick	4
a-na	to	3
i-na	on	3
e-pú-uš-ma	I built	3
ku-up-ri	bitumen	3
i-na	with	3
da-nu₄-tim	strong	2
GIŠ šu-úr-mé-ni	cypress	2
a-na	for	2
la	not	2
šar-ru-ti-ia	of my royal majesty	2
šu-ba-at	residence	2
ku-um-mu	kummu-building	2
KÁ DINGIR RA KI	Babylon	2
i-na	in	2
a-na	as	2
ša-da-ni-iš	like mountain	2
KÁ DINGIR RA KI	of Babylon	2
ra-ba-a	large	1
AD	of father	1
re-e-ši-šu	top of it	1
ša-qí-iš	to great height	1
it-ti	to	1
e-ep-ti-iq-ma	I fashioned	1
É GAL	palace	1
UD	day	1
ú-ra-ad-di-ma	I added	1
ú-za-aq-qí-ir	raised	1
šu-bat	seat	1
ú-ša-pa-a	made	1
ú-ša-ak-li-il-ma	I completed	1
ši-pí-ir-ša	its construction	1
u₄-um	days	1
15	fifteen	1
ḫu-úr-sa-ni-iš	as high as mountain	1
re-e-ši-ša	its superstructure	1
in	in	1
ú-ša-ar-ši-id-ma	I secured	1
ki-gal-lu	of netherworld	1
i-ra-at	surface	1
i-šid-sa	its foundation	1
ŠE GA	auspicious	1
ša-al-mu	favorable	1
ITI	month	1
pí-ti-iq	structure	1
URU KI	wall	1
bé-e-ri-šu-un	between	1
ba-šu-ù	was present	1
BÁRA-šu	its dais	1
e-nim	I did change	1
su-uq-šu	its street	1
šu-un-du-lam	widen	1
ni-ṣi-ir-ti-šu	his protection	1
URU	city	1
li-ib-bu-ú-a	my heart	1
EN-ia	my lord	1
pa-la-ga-šu	its canal	1
d AMAR UTU	Marduk	1
pu-lu-úḫ-ti	worshiping	1
aš-šum	Because	1
šu-um-ṣa	were decorous	1
šar-ru-ti-ia	my as king	1
si-ma-at	status	1
mu-ša-bi-ia	of my residence	1
ku-um-mu	private chambers	1
ú-ni-iš	displace	1
la	nor	1
ka-a-ri	embankments	1
4 ME 90	490	1
2	two	1
GIŠ EREN	cedar	1
ša-al-ḫe-e	outer wall	1
né-mé-et-ti- d EN LÍL	of Nēmetti-Enlil	1
i-ta-at	outside	1
qá-qá-ri	distance	1
am-ma-at	cubits	1
ṭa-ḫe-e	can come close	1
e-es-ki-ir	block up	1
la	no	1
TIN TIR KI	of Babylon	1
im-gur- d EN LÍL	Imgur-Enlil	1
ta-ḫa-zi	battle	1
qá-an	arrow	1
aš-šum	so that	1
aš-te-eʾ-e-ma	I searched	1
ra-ap*-ši-iš	wide	1
be-lu-ti	of lordly majesty	1
bé-e-ru-tim	selection	1
da-nu₄-ti	hard	1
da-ga-lu	to see	1
uz-zu	anger	1
bal-ti	Dignity	1
uš-ma-al-lam	I filled	1
lu-le-e	with splendor	1
ni-ši	of people	1
KIŠ	all	1
ú-še-pi-iš-ma	I had built	1
me-lam-me	brilliance	1
tab-ra-a-ti	object of wonder	1
ša-a-ti	that	1
É	building	1
re-e-ša-a-ša	its superstructure	1
ú-ul-la-a	I raised	1
ša-di-im	mountain	1
ki-ma	like	1
pu-luḫ-ti	reverence	1
šar-ru-ti	of kingship	1
KUR KUR	mountains	1
la ba-bil	merciless	1
ú-da-an-ni-in	by reinforcing	1
qá-an ta-ḫa-zi-šu	his arrows	1
ú-ša-as-si-ma	I drove away	1
KÁ DINGIR RA KI	of Ka-dingirra	1
BÀD	of wall	1
pa-ni₇	in	1
i-ta-a-ti	outskirts	1
le-em-nu	evil doer	1
i-ta-ti-šu	it	1
ša	As for	1
qé-re-eb-šu	inside it	1
i-ba-aʾ	enter	1
ul	cannot	1
la i-ša-ra	unrighteous	1
ra-ag-gu	criminals	1
sa-aḫ-ra-a-ma	surround	1
GAL GAL	large	1
ši-ti-iq	quarried	1
ṣi-i-ti	originating from	1
GIŠ IG GIŠ IG	doors	1
ka-as-pa	of silver	1
i-ḫi-iz	mounting	1
ZÚ AM SI	ivory	1
ú-ša-a	ebony	1
GIŠ e-re-nim	cedar	1
GIŠ MES MÁ KAN NA	of musukkannu-wood	1
ú-ša-at-ri-iṣ	stretched	1
ta-aḫ-lu-up-ti	facing	1
ṣú-lu-li-ša	its roof	1
ḫu-ur-sa-ni-iš	like mountain	1
ni-is-qí	best	1
pa-ag-lu-ti	thick	1
GIŠ a-šu-ḫu	pine	1
e-lu-ti	holy	1
ša-di-i	mountain	1
ḫu-ra-ṣu	gold	1
ZABAR	of bronze	1
NA₄	stone	1
re-ša-a-ša	its summit	1
i-na	using	1
ra-ba-a	great	1
a-gur-ri	of baked brick	1
i-ta-at	Beside	1
ú-ša-às-ḫi-ir-šu	I surrounded it	1
da-an-num	fortified	1
ú-ša-al-mi	I surrounded	1
NA₄ ZA GÌN	blue glaze	1
as-ku-up-pu	threshold	1
ki-li-li	parapets	1
er-te-et-te-ma	I fixed	1
KÁ MEŠ-ša	its gates	1
e-ma	At each of	1
e-ri-i	of copper	1
pí-ti-iq	cast	1
nu-ku-še-e	nukuššû-fittings	1
i-na	In	1
