AKK	ENG	Frequency
ù	and	11
d AMAR UTU	Marduk	6
ša	of	5
i-na	with	4
KÁ DINGIR RA KI	of Babylon	3
a-na	to	2
DINGIR DINGIR	of gods	2
é-sag-íl	Esagil	2
DINGIR	god	2
ki-ma	like	2
EN	lord	2
d na-bi-um	of Nabû	2
GAL GAL	great	2
DINGIR	gods	2
šu-qú-pa-at	had been allowed to collapse	1
su-ba-ru-um	Subarean	1
ša-ma-mi	heavens	1
na-ra-am	beloved	1
šar-ru₄-ti-ia	of my royal majesty	1
GIŠ TUKUL-kí	weapon	1
da-núm	strong	1
re-e-si-ša	its summit	1
šu-úr-šu-dam	firmly secure	1
d èr-ra	Erra	1
ra-šu-ub-bu	awesome	1
mu-uš- ta -ab-ri-qu	who constantly strikes with lightning	1
za-à-ri-ia	my enemies	1
a-na-ru	I killed	1
SUḪUŠ-sà	its foundation	1
MA DA-su	his land	1
ú-te-er-ru	turned	1
a-na	into	1
DU₆	mound	1
ka-ar-mi	ruins	1
qí-bí-a-tì	commands	1
é-temen-an-ki	Etemenanki	1
zi-iq-qú-ra-at	ziggurat	1
KI GAL-e	of netherworld	1
ša	which	1
i-ra-at	surface	1
un-nu-ša-tu	very weak	1
ul-la-nu-ú-a	had become	1
i-na	on	1
ì-nu-mi-šu	at that time	1
ú-ad-du-nim	responded to me	1
i-na	by	1
MA DA-šu-me-rí-im	of land of Sumer	1
ra-bí-ù	great	1
d EN LÍL	Enlil	1
mu-uš-ta-ar-ḫa	proud one	1
a-ši-ir	who directs	1
d i-gi₄-gi₄	Igīgū	1
sà-a-ni-iq	who controls	1
d a-nun-na-ki	Anunnakū	1
nu-úr	light	1
ab-bé-e-šu	his fathers	1
à-ši-ib	who dwells	1
be-lí-ia	my lord	1
d na-bi-um-IBILA-ú-ṣu-úr	Nabopolassar	1
GÌR NÍTA	governor	1
LUGAL	king	1
ak-ka-di-im	Akkad	1
e-nu-ma	When	1
ṣú-ru-uš-šu	in his heart	1
a-na-ku	I	1
sà-ak-ke-e	rites	1
ši-it-nu-ni	have rival	1
é-zi-da	Ezida	1
za-ni-in	who provides for	1
li-it-mu-du	thoroughly understands	1
EŠ₁₈ TÁR	goddess	1
ru-ba-a-am	prince	1
pa-la-aḫ	to revere	1
ša	who	1
ša-aḫ-ṭam	respectful	1
à-aš-ru-um	humble	1
ti-ri-iṣ qá-at	protégé	1
na-aʾ-dam	pious	1
mu-uš-te-eʾ-em	who strives after	1
GIŠ MAR MEŠ	spades	1
be-lam	lord	1
ú-ša-ta-ad-di-im-ma	I deliberated	1
GI NÍNDA NA-kum	measuring rod	1
i-na	using	1
a-ba-aš-lam	survey team	1
ú-wa-ʾe-er₄-ma	I commissioned	1
e-em-qú-tim	well-trained	1
UM ME A	craftsmen	1
ra-bí-im	great	1
mi-in-di-a-tam	dimensions	1
pa-ak-ki-ia	my sense of reason	1
ú-ša-ar-sa-an-ni	had allowed me to attain	1
ba-ni-ia	who created me	1
ša	that	1
šu-un-du-lu	vast	1
li-ib-bi-im	mind	1
ú-ma-an-di-id	measured	1
LÚ ŠITIM GAL-e	Master builders	1
d na-bi-um	Nabû	1
li-ib-ba-am	mind	1
à-ar-ka-tim	of divination	1
pa-ra-si	outcomes	1
i-na	through	1
mi-in-di-a-tim	dimensions	1
ú-ka-ṣi-pu	took into consideration	1
ú-uš-ta-ad-di-nu	deliberated	1
e-ma	whenever	1
iš-ta-ad-dú-um	stretched out	1
ap-ru-us-ma	I made inquiries	1
d IŠKUR	Adad	1
d UTU	Šamaš	1
ki-su-úr-ri-im	ground plan	1
ú-ki-in-nu-um	firmly established	1
eb-le-e	ropes	1
d nisaba	Nisaba	1
ne-me-qu	wisdom	1
ia-a-ši	me	1
GIŠ ESI	ebony	1
MA DA-ia	in my land	1
di-ku-ut	levied	1
sa-ad-li-a-tim	vast number	1
um-ma-nim	of workmen	1
ap-tíq-ma	I fashioned	1
GIŠ MES MÁ KAN NA	musukkannu-wood	1
⸢AM⸣ SI	elephant	1
al-mi-in	without number	1
ZÚ	ivory	1
i-na	of	1
GIŠ Ù ŠUB MEŠ	brickmolds	1
à-ar-ka-at	through divination	1
GIŠ AL MEŠ	hoes	1
iq-bí-a	commanded	1
ú-ša-aš-ši-im	I made carry	1
ú-sa-al-bi-in	I had make	1
IGI GÁL-ú-tu	perspicacity	1
ESIR	crude	1
d é-a	Ea	1
me-re-šu	knowledge	1
i-na	With	1
ú-sa-az-bi-il	I had carry off	1
ÍD a-ra-aḫ-tim	Araḫtu	1
ESIR UD DU A	refined bitumen	1
mi-li-im	flood	1
li-ib-in-tim	mud bricks	1
ka-aš-ši-im	raging	1
la ma-nu-tim	countless	1
sa-me-e	of rain	1
ti-ik	drops	1
SIG₄ AL ÙR RA	baked bricks	1
ú-ša-ap-ti-iq	mold	1
a-na	For	1
