AKK	ENG	Frequency
i-na	in	10
ù	and	7
KÁ DINGIR RA KI	Babylon	6
i-na	with	6
a-na	For	6
É-su	his temple	4
ku-up-ri	bitumen	4
a-gur-ri	baked brick	3
ša	of	3
e-pú-uš	I built	3
pa-pa-ḫa	of cella	2
É	temple	2
ṣi-i-ri	exalted	2
ab-nim	I built	2
a-na	to	2
ša-qí-iš	to great height	2
a-gur-ri	baked bricks	1
ru-ku-bu	vehicle	1
é-ur₄-me-imin-an-ki	Eurmeiminanki	1
NA₄ ZA GÌN	blue glaze	1
el-le-ti	shining	1
ú-še-pí-iš	I had built	1
ú-ul-la-a	I raised	1
az-nu-un	provided for	1
bar-sí-pa KI	of Borsippa	1
re-e-ša-a-ša	superstructure	1
eš-re-e-ti	sanctuaries	1
GIŠ má-íd-ḫé-du₇	Maideḫedu	1
i-si-in-ni₇	festival	1
ru-bu-ti-šu	of his rulership	1
GIŠ MÁ	barge	1
ma-áš-da-ḫa	processional	1
zag-mu-ku	of New Year’s festival	1
lu-le-e	splendor	1
šu-an-na KI	of Šuanna	1
ka-re-e-šu GIŠ	karûs	1
za-ra-ti	zāratu-feature	1
qé-er-bi-šu	inside it	1
ú-ša-al-bi-šu	I had clad	1
ti-i-ri	with overlay	1
ša-áš-ši	of gold	1
NA₄	stone	1
é-sískur	Esiskur	1
uš-ma-al-lam	filled	1
e-pu-uš	I built	1
ta-ab-ra-a-ti	object of wonder	1
ma-la-ak	course	1
GIŠ IG MEŠ	doors of	1
KÁ	of gate	1
si-ip-pe	door-jambs	1
ši-ga-ri	door bolt	1
GIŠ DAL	crossbeam	1
GAN DU₇	architrave	1
giš-ká-na-ku	giškanakku	1
ṣa-ri-ri-um-ma	ṣāriru-gold	1
GIŠ EREN	cedar	1
ṣú-lu-lu	roof	1
da-la-ba-na-a-ti-šu	of its dalbānus	1
KÙ BABBAR	silver	1
ú-za-ʾi-in	I decorated	1
ta-al-la-ak-ti	access way	1
É	to temple	1
ú-dam-mi-iq-ma	I beautified	1
GIŠ IG MEŠ	of doors	1
as-míš	suitably	1
ú-ba-an-nim	I made shine	1
nam-ri-iš	resplendently	1
za-ḫa-le-e	zaḫalû-metal	1
ṣi-ir-ti	exalted	1
KÁ MEŠ	of gates	1
AM MEŠ	wild bulls	1
a-gu-úr	baked brick	1
ka-as-pa	silver	1
pi-ti-iq	cast	1
qé-er-bi-šu	inside	1
BÁRA BÁRA	diases	1
du-ú	throne platform	1
eš-ma-re-e	of ešmarû-metal	1
a-ki-ti	akītu-house	1
ši-kin	established	1
d EN LÍL	Enlil	1
d gu-la	Gula	1
d UTU	Šamaš	1
da-a-a-nim	judge	1
ša-kin	who put	1
UZU	omen	1
SIG₅	propitious	1
te-er-ti-ia	my extispicy	1
é-di-ku₅-kalam-ma	Edikukalama	1
KÁ DINGIR DINGIR KI	Babylon	1
d IŠKUR	Adad	1
mu-ša-áš-ki-in	who provides	1
ḪÉ GÁL	abundance	1
MA DA-ia	my land	1
é-nam-ḫé	Enamḫe	1
e-ṭi-ra-at	who saves	1
é-giš-nu₁₁-gal	Ekišnugal	1
ga-mi-la-at	spares	1
na-pí-iš-ti-ia	my life	1
é-sa-bad	Esabad	1
é-ḫur-sag-sikil-la	Eḫursagsikila	1
É É-ša	her temples	1
as-mi-iš	suitably	1
d NIN-é-an-na	Bēlet-Eanna	1
be-el-ti	lady	1
ra-aʾ-im-ti-ia	who loves me	1
é-ki-tuš-garza	Ekitušgarza	1
É-sa	her temple	1
tu-ub-qá- at	outer corner	1
BÀD	of city wall	1
KÁ DINGIR KI	of Babylon	1
ba-bi-ìl KI	Babylon	1
i-da-ti-ia	my omens	1
DINGIR DINGIR	of gods	1
d nin-maḫ	Ninmaḫ	1
d AMAR UTU	Marduk	1
ḫi-da-a-ti	joyful	1
ri-ša-a-ti	celebrations	1
i-gi₄-gi₄	Igīgū	1
d a-nun-na-ki	Anunnakū	1
ka-ma-a-ti	outskirts	1
a-gu-úr-ri	baked brick	1
ša-da-ni-iš	like mountain	1
e-er-te	I set	1
é-maḫ	Emaḫ	1
d nin-ḫur-sag-gá	of Ninḫursag	1
lib-ba	inside	1
a-na	for	1
AMA	mother	1
mu-da-am-mi-iq	who makes auspicious	1
ba-ni-ti-ia	who created me	1
d AG	Nabû	1
SUKKAL	vizier	1
ša	who	1
i-din-nam	gave	1
GIŠ NÍG GIDRU	scepter	1
i-šar-ti	just	1
ka-al	all	1
da-ad-mi	of settlements	1
pa-qá-da₄	exercise authority over	1
é-níg-gidru-kalam-ma-sum-ma	Eniggidrukalamasumu	1
e-ep-ti-iq	I built	1
pi-ti-iq-šu	structure	1
d EN ZU	Sîn	1
ri-i-mu	wild bull	1
