AKK	ENG	Frequency
šá	who	5
LUGAL	King	4
id-din-nu	created	3
d a-ḫu-ru-ma-az-da-ʾ	Ahuramazda	3
m ḫi-ši-ʾ-ar-ši	Xerxes	3
a-ga-a	this	2
GAL-ú	Great	2
id-din-nu	gave	2
a-na	to	2
šá	of	2
LUGAL	king	2
a-na-ku	I	2
iš-ten	one	2
ma-du-ú-tu	many	1
a-na	for	1
mu-te-ʾ-e-ʾ	ruler	1
ma-du-ú-tu	of many	1
LUGAL MEŠ	of Kings	1
LUGAL MEŠ	kings	1
e-pu-uš-šu	I made	1
KUR KUR MEŠ	of lands	1
dum-qí	good fortune	1
LÚ UN MEŠ	people	1
LÚ-lut-ti	mankind	1
AN-e an-nu-tú	sky	1
qaq-qa-ru	earth	1
GAL-ú	great	1
LUGAL-ú-ti	kingship	1
a-ga-a-ta	this	1
nap-ḫa-ri	totality	1
GIŠ MI	favor	1
LUGAL-ú-ti-ia	my kingdom	1
u	and	1
DINGIR MEŠ	gods	1
it-ti	with	1
li-iṣ-ṣur-an-ni	protect	1
a-na-ku	me	1
e-te-pu-ús-su	built	1
É	house	1
i-na	By	1
li-šá-nu MEŠ	of tongues	1
i-qab-bi	says	1
m a-ḫa-ma-an-niš-ši-ʾ	Achaemenian	1
m da-a-ri-ia-a-muš	of Darius	1
A	son	1
ru-uq-qu-ti	far	1
GAL-ti	great	1
šá	what	1
qaq-qa-ru	of earth	1
DINGIR	god	1
