"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"d064dc00-efd6-4ff5-ba97-bf6186d18eb8","cts-import.tei.xml","Λακεδαίμονα","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[1]::18;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[1]::29","PLACE","http://pleiades.stoa.org/places/570406","Lacedaemon/Laconia","-0750/0300","37.07624042080912","22.46082645177671","region","VERIFIED","","","",""
"878f73e7-bc29-40a8-806f-e510e3857e94","cts-import.tei.xml","Μενελάου","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[2]::24;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[2]::32","PERSON","","","","","","","","https://en.wikipedia.org/wiki/Menelaus","","",""
"b8af6765-3fe0-47c0-99e3-8cea94cd20d2","cts-import.tei.xml","Ἀχιλλῆος","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[5]::8;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[5]::16","PERSON","","","","","","","","https://en.wikipedia.org/wiki/Achilles","","",""
"2a9e222b-8a1d-4805-84e6-c344c04cafdd","cts-import.tei.xml","Τροίῃ","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[6]::3;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[6]::8","PLACE","http://pleiades.stoa.org/places/550595","Ilium/Troia|Ilium/Troia, Hisarlık","-0750/2100","39.9577","26.23873","settlement","VERIFIED","","","",""
"00274c26-dfa5-44ec-a5ce-ded531e93b7e","cts-import.tei.xml","Μυρμιδόνων","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[9]::0;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[9]::10","PERSON","","","","","","","","https://en.wikipedia.org/wiki/Myrmidons","","",""
"7f3fb500-49fe-4433-bdd4-68e70bbb10d8","cts-import.tei.xml","Σπάρτηθεν","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[10]::8;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[10]::17","PLACE","http://pleiades.stoa.org/places/570685","Sparta|Sparta/Sparte, Sparti","-0750/0300","37.08149","22.42454","theatre,temple,settlement,temple-2","VERIFIED","","","",""
"6ad90b70-5e92-4af8-a348-4b366b99a547","cts-import.tei.xml","Ἀλέκτορος","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[10]::18;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[10]::27","PERSON","","","","","","","","https://en.wikipedia.org/wiki/Alector","","",""
"f51e97a6-a7bc-4505-b873-7107ffb5bbb4","cts-import.tei.xml","Μεγαπένθης","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[11]::32;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[11]::42","PERSON","","","","","","","","https://en.wikipedia.org/wiki/Megapenthes_(son_of_Menelaus)","","",""
"e7102c9f-f3d5-4b11-b115-6d6751670369","cts-import.tei.xml","Ἑλένῃ","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[12]::11;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[12]::16","PERSON","","","","","","","","https://en.wikipedia.org/wiki/Helen_of_Troy","","",""
"c4904987-6cf0-4eeb-97ac-afa756ed19f9","cts-import.tei.xml","Ἑρμιόνην","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[14]::0;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[14]::8","PERSON","","","","","","","","https://en.wikipedia.org/wiki/Hermione_(mythology)","","",""
