"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"3e138473-11ef-4f98-a371-4c4953eff2b4","cts-import.tei.xml","Φαίηκας","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[130]::10;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[130]::17","PLACE","http://geo-kima.org/place/22949","Scheria (Island)","","","","","VERIFIED","","","",""
"972a7e71-3c04-4113-b6cb-f65658762572","cts-import.tei.xml","Ἀθήνη","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[136]::36;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[136]::41","PERSON","","","","","","","","https://en.wikipedia.org/wiki/Athena","","",""
"bf44c993-21eb-46fa-a449-aca26a89d854","cts-import.tei.xml","Ὀδυσῆα","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[137]::13;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[137]::19","PERSON","","","","","","","","https://en.wikipedia.org/wiki/Odysseus","","",""
"61cd3f31-1126-471c-84b1-d596d4342e1e","cts-import.tei.xml","Ὠκεανοῦ","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[139]::11;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[139]::18","PERSON","","","","","","","","https://en.wikipedia.org/wiki/Oceanus","","",""
"870d7344-5a85-4512-bc62-c3a5982e0326","cts-import.tei.xml","Ὀδυσσεὺς","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[140]::42;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[140]::50","PERSON","","","","","","","","https://en.wikipedia.org/wiki/Odysseus","","",""
"366bea8c-ea11-4080-ab2a-de51a427718e","cts-import.tei.xml","Ζεὺς","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/q[23]/l[3]::20;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/q[23]/l[3]::24","PERSON","","","","","","","","https://en.wikipedia.org/wiki/Zeus","","",""
"9a66c6dc-bf5b-4e26-976c-81351dcdd400","cts-import.tei.xml","Ἀχαιοὶ","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/q[23]/l[8]::39;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/q[23]/l[8]::45","PLACE","http://pleiades.stoa.org/places/570028","Achaea/Achaia (region)","-0750/0300","38.102121472776034","22.224585911364017","region","VERIFIED","","","",""
"72f63bb6-beab-466b-8c1e-865a083aa05a","cts-import.tei.xml","Τηλέμαχον","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[143]::8;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[143]::17","PERSON","","","","","","","","https://en.wikipedia.org/wiki/Telemachus","","",""
"ea69b8b8-2af7-4053-80cd-d800a6134e69","cts-import.tei.xml","Ὀδυσσεύς","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[146]::36;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[146]::44","PERSON","","","","","","","","https://en.wikipedia.org/wiki/Odysseus","","",""
"59cba982-3537-4a92-b330-89dedf9f219e","cts-import.tei.xml","Ἀθήνη","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[147]::40;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[147]::45","PERSON","","","","","","","","https://en.wikipedia.org/wiki/Athena","","",""
