"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"c9ab67ae-901a-41bf-9140-dc370b47eca3","cts-import.tei.xml","Ἑρμῆς","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[1]::0;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[1]::5","PERSON","","","","","","","","https://en.wikipedia.org/wiki/Hermes","","",""
"08c2020f-1a17-437e-a7dc-b3db719c4d60","cts-import.tei.xml","Κυλλήνιος","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[1]::15;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[1]::24","PLACE","http://pleiades.stoa.org/places/570391","Kyllene (mountain)|Kyllene Mons, Kyllene","","37.9391027","22.3957984","mountain","VERIFIED","","","",""
"b280e356-8362-4e57-8283-acd0bc8f62b1","cts-import.tei.xml","Ἑρμείας","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[10]::0;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[10]::7","PERSON","","","","","","","","https://en.wikipedia.org/wiki/Hermes","","",""
"b2c02876-119f-4b6b-82f5-03da577dead3","cts-import.tei.xml","Ὠκεανοῦ","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[11]::12;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[11]::19","PERSON","","","","","","","","https://en.wikipedia.org/wiki/Oceanus","","",""
"d353f510-d426-4dd7-a9c9-92dbc7e362e7","cts-import.tei.xml","Λευκάδα","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[11]::32;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[11]::39","PLACE","http://pleiades.stoa.org/places/530975","Leucas|Leucas (island)|Leucas Ins., Lefkada|Leucas, Leukada|Apollo Leukatas, T.|Apollo Leukatas, Cape Lefkatas","-0750/0640","38.70819","20.64944","island,sanctuary,settlement","VERIFIED","","","",""
"dcc66f58-a688-40aa-8053-97ea81706945","cts-import.tei.xml","Ἠελίοιο","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[12]::9;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[12]::16","PERSON","","","","","","","","https://en.wikipedia.org/wiki/Helios","","",""
"64de40eb-8f95-420b-8e65-bfb2931a2627","cts-import.tei.xml","Πηληϊάδεω","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[15]::15;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[15]::24","PERSON","","","","","","","","https://en.wikipedia.org/wiki/Peleus","","",""
"e71cda8b-2e22-4df9-bbbf-de7448b6ccfa","cts-import.tei.xml","Ἀχιλῆος","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[15]::25;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[15]::32","PERSON","","","","","","","","https://en.wikipedia.org/wiki/Achilles","","",""
"9e50a2d8-0b45-4ca8-ad36-b695aa52ced5","cts-import.tei.xml","Πατροκλῆος","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[16]::4;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[16]::14","PERSON","","","","","","","","https://en.wikipedia.org/wiki/Patroclus","","",""
"2f4fcc15-cc82-4f22-8a86-92dfda683a36","cts-import.tei.xml","Ἀντιλόχοιο","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[16]::28;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[16]::38","PERSON","","","","","","","","https://en.wikipedia.org/wiki/Antilochus","","",""
"0bd109b0-d286-454c-8aaf-f2ad7ba82995","cts-import.tei.xml","Αἴαντός","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[17]::0;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[17]::7","PERSON","","","","","","","","https://en.wikipedia.org/wiki/Ajax_the_Great","","",""
"2f05a256-cf47-467c-8262-ccfc5a30a528","cts-import.tei.xml","Δαναῶν","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[18]::10;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[18]::16","PLACE","http://pleiades.stoa.org/places/570106","Argos|Argos, Argos","-0750/0300","37.631561","22.719464","settlement","VERIFIED","","","",""
"7b5ffa92-9147-424d-b34f-206c5e96a7a7","cts-import.tei.xml","Πηλεΐδαο","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[18]::30;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[18]::38","PERSON","","","","","","","","https://en.wikipedia.org/wiki/Peleus","","",""
"6df6f759-1ce5-4603-9bf4-c86373b1c5e0","cts-import.tei.xml","Ἀγαμέμνονος","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[20]::15;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[20]::26","PERSON","","","","","","","","https://en.wikipedia.org/wiki/Agamemnon","","",""
"c16d0280-132c-44d2-b8b6-805436f9d336","cts-import.tei.xml","Ἀτρεΐδαο","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[20]::27;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/l[20]::35","PERSON","","","","","","","","https://en.wikipedia.org/wiki/Atreus","","",""
