GRC	ENG	Frequency
πνεύματι	with the breath	1
ἀνὰ κέρασαν	they bring together	1
βακχείᾳ	in frenzy	1
κύκλωμα	drum	1
οἰστρηθεὶς	made wild by the frenzy	1
τόδε	this	1
ηὗρον	invented	1
Κορύβαντες	the Corybantes	1
τρικόρυθες	three crested	1
ἔνθα	There	1
Κρήτας	Crete’s	1
Διογενέτορες	of Zeus	1
ἔναυλοι	land	1
ζάθεοί	sacred	1
Κουρήτων	of the Kouretes	1
ὦ θαλάμευμα	Home	1
Διονύσῳ	Dionysos	1
ἡδομένα	Joyfully	1
