AKK	ENG	Frequency
d AMAR UTU	Marduk	3
ša	of	2
BÀD	wall	2
UŠ	side	2
ra-ba-a	great	1
ÍD a-ra-aḫ-tim	of Araḫtu River	1
ul-tu	from	1
GÚ	bank	1
ba-bi-lim KI	Babylon	1
SIG₅-ti	favorable things	1
Im-gur- d EN LÍL	Imgur-Enlil	1
AN TA	north	1
ù	and	1
d AG	Nabû	1
ti-ri-iṣ	protégé	1
ba-bi-lim KI	of Babylon	1
LUGAL	king	1
a-na-ku	I	1
a-di	to	1
KÁ GAL- d INANNA	gate of Ištar	1
qí-bi	speak	1
KI TA	south	1
šá	of	1
KÁ GAL- d uraš	gate of Uraš	1
la-bi-ri	original	1
te-me-en-šu	foundation	1
ú-ṣab-bi-ma	I sought out	1
mi-it-ḫa-ri-iš	in same way	1
a-na	for	1
EN-ia	my lord	1
e-pu-uš	I built	1
a-na	to	1
d na-bi-um-IBILA-ú-ṣur	Nabopolassar	1
