AKK	ENG	Frequency
d AMAR UTU	Marduk	3
ša	of	2
ka-la	all	2
URU-ka	your city	1
la-an-ka	your body	1
e-li	than	1
ul	no	1
URU KI	city	1
ú-ša-pa	I have made resplendent	1
a-ra-am-ma	I love	1
pu-lu-uḫ-ti	worshiping	1
li-bé-e-lu	rule over	1
i-lu-ti-ka	your divinity	1
áš-te-né-eʾ-ù	I constantly seek out	1
be-lu-ut-ka	your lordly majesty	1
mu-gu-úr	Accept	1
ni-iš qá-ti-ia	my supplications	1
ši-ma-a	listen to	1
su-pu-ú-a	my prayers	1
a-na-ku	I	1
lu	may	1
ki-ma	Because	1
KÁ DINGIR RA KI	Babylon	1
za-ni-num	who provides	1
mu-uš-ta-ar-ḫa	proud	1
be-lí-ia	my lord	1
qá-ti	hand	1
aš-ši	raised up	1
ut-né-en-ma	I prayed	1
EN	lord	1
IGI GÁL	wisest	1
DINGIR DINGIR	of gods	1
ru-bu-ú	prince	1
at-ta	you yourself	1
e-la-a	exalted	1
ta-ab-na-an-ni-ma	created me	1
šar-ru-ti	kingship	1
KIŠ	of all	1
ni-ši	of people	1
ta-qí-pa-an-ni	entrusted me	1
ki-ma	as	1
na-ap-ša-ti	life	1
a-qá-ar-ti	precious	1
a-ra-mu	I have loved	1
LUGAL	king	1
ša-ak-ka-na-ak-ku	governor	1
mu-ṭi-ib	pleases	1
a-ṣú-ú	rises	1
lu-um-ḫu-úr	May I receive	1
qé-er-bu-uš-ša	inside it	1
iš-tu	From	1
a-di	to	1
AN ÚR	horizon	1
AN PA	zenith	1
e-ma	wherever	1
d UTU	sun	1
a-a	not	1
bi-la-at-su-nu	tribute	1
i-ši	may I have	1
na-ki-ri	enemies	1
mu-gal-li-ti	troublemaker	1
a-a	nor	1
ar-ši	acquire	1
li-pu-ú-a	my descendants	1
i-na qé-er-bi-ša	Inside it	1
a-na da-rí-a-ti	forever	1
ka-bi-it-ti	substantial	1
te-né-še-e-ti	people	1
li-ib-bi-ka	your heart	1
ga-du ul-lu	forever	1
ṣa-al-ma-at qá-qá-da	black-headed	1
it-pé-šu	capable	1
za-ni-na	who provides for	1
ma-ḫa-zi-ka	of your cult centers	1
qí-bi-tu-uk-ka	your command	1
re-mé-nu-ú	merciful	1
É	house	1
e-pu-šu	I built	1
li-bu-ur-ma	stay in good repair	1
kib-ra-a-ti	of quarters	1
la-la-a-ša	its luxuriousness	1
lu-uš-bi-im	I may be sated	1
i-na qé-er-bi-ša	inside it	1
lu-uk-šu-ud	May I reach	1
ši-bu-ti	prime of life	1
lu-uš-ba-a	very old age	1
li-it-tu-ti	attain	1
LUGAL LUGAL	kings	1
A-na	to	1
