AKK	ENG	Frequency
u₃	and	8
d AMAR UTU	Marduk	6
ša₂	of	4
a-na	for	4
ša	of	4
EN	lord	3
ša₂	whoever	2
aš₂-ri	place	2
BAD₃	wall	2
šu-a-ti	that	2
GU₂	bank	2
d EN LIL₂	Enlil	2
ŠA₃	heart	2
a-lik	who came	2
la	not	2
LUGAL	king	2
ki-num	true	2
i-na	in	2
d UTU	Šamaš	2
ID₂ a-ra-ah-tim	of Araḫtu River	2
d a-nun-na-ki	Anunnakū	2
tup-šik-ku	basket	2
d i-gi₄-gi₄	Igīgū	2
GIŠ AL	hoe	2
i-na	on	2
te-me-en-na	foundation	2
ša	at	2
reš-ti-i	original	2
šid-di	on side	2
u₂-šar-ši-id	I firmly secured	1
e-bi-ih	lining	1
ad-di	laid	1
BAL RI	bank	1
d UTU E₃	east	1
i-šid-su	its foundation	1
i-ra-at	surface	1
li-bit-ta-šu₂	brickwork	1
ki-gal-la	of netherworld	1
dan-num	strong	1
u₄-me da-ru-tu₂	ever	1
u₂-ša-as-hi-ir	I surrounded	1
mu-ut-tu-u₂	who discovers	1
za-bil	who carries	1
ṣa-bit	who grasps	1
du-ur	all	1
UD MEŠ	eternity	1
ša	for	1
ki-gal-lu	socle	1
mu-uš-te-eṣ-bi	who executes according to plan	1
a₃-ah-ra-tim	past	1
SIG₄	brick	1
ba-bi-limKI	Babylon	1
d AG-IBILA-URU₃	Nabopolassar	1
la-bi-ri	old	1
ha-aʾ-iṭ	who examines	1
d pa₄-nun-an-ki	of Pa p nun-anki	1
mu-ṭib	who pleases	1
RE E₂ UM	shepherd	1
d AG	Nabû	1
pa-li-ih	who reveres	1
kan-šu	submissive	1
aš₂-ri	humble	1
a-hi-iṭ	I examined	1
ab-re-e-ma	inspected	1
ša₂-ap-li-i	lower	1
la-bi-ru	old	1
ša	whose	1
UD MEŠ	a long time ago	1
SAG-šu₂	superstructure	1
u₂-ul-lu-u₂	they had raised	1
uš-ta-aṣ-bu-u₂	they had executed	1
nak-liš	skillfully	1
u₂-kin-nu	firmly established	1
te-me-en-šu	foundation	1
ŠA₃-šu₂-nu	of their heart	1
nu-ug	jubilation	1
GAL MEŠ	great	1
i-qu-up-ma	collapsed	1
DINGIR MEŠ	gods	1
ni-ṣir-tim	secluded	1
qaq-qar	ground	1
eriduKI	of Eridu	1
d e₂-a	Ea	1
GIŠ HUR MEŠ	of designs	1
nak-la-a-ti	sophisticated	1
a-šar	place	1
d a-nu-um	Anu	1
ki-di-ni	with privileged status	1
i-ni-iš	it became weak	1
i-na	on account of	1
te-me-en-šu	its foundation	1
e-mid	imposed	1
as-su₂-uh-ma	I removed	1
kam-ru-tu	heaped up	1
e-pe-ri-šu	earth	1
KA₂ GAL- d uraš	gate of Uraš	1
im-gur- d EN LIL₂	Imgur-Enlil	1
a-di	to	1
