AKK	ENG	Frequency
d AMAR UTU	Marduk	5
u₃	and	4
u	and	3
LUGAL	king	3
ha-aṭ-ṭa	scepter	2
a-na	for	2
ki-ib-ra-a-tim	quarters	2
ṣi-ri-im	exalted	2
a-na	to	2
ma-a-ti	land	2
um-ma-ni-ia	of my workforce	1
tu-up-ši-ik-ku	basket	1
na-ap-ha-ar	all	1
e-mi-id	I imposed	1
u₄-mi-šu-ma	that time	1
GIŠ al-lu	hoe	1
GIŠ mar-ri-im	spade	1
in	At	1
u₂-ša-aš-ši-im	made carry	1
ni-ši₃	people	1
ša	whose	1
e-li-ti	of upper	1
ša-ap-li-tim	lower	1
u₂-ša-at-mi-ih	grasps le t	1
d na-bi-um	Nabû	1
ṣe-re-es-su	lead-rope	1
a-na	in	1
qa₂-ti-ia	my hands	1
u₂-ma-al-lu-u₂	placed	1
d er₃-ra	Erra	1
be-li	lord	1
il-li-ku	go es	1
im-ni-ia	my right side	1
ra-bi-ṣu	bail iff	1
qa₂-tu-u₂-a	hands my	1
šu-ur-kam	give	1
la ma-gi-ri-im	insubmissive	1
d AMAR UTU	Mardu k	1
dan-num₂	strong	1
DINGIR RA KI KA₂	of Babylon	1
MA DA-šu-me-ri₂-im	land of Sumer	1
ak-ka-di-i	Akkad	1
iš-ša-ak-ku-um	ruler	1
ṣi-i-ri	exalted	1
pa-lih	who reveres	1
d u₂-raš	Uraš	1
d iš-tar₂	Ištar	1
RE E₂ UM	she ph erd	1
ki-nam	t r ue	1
ti-ri-iṣ	protégé	1
d na-bi-um	of Nabû	1
a-na-ku	I	1
ku-nu-uš	subjugate	1
i₃-nu-um	When	1
i₃-li₂	gods	1
ra-bi₂-u₂-tim	great	1
be-lu-ut	dominion	1
šu-ma-am	name	1
ib-bu-u₂	called	1
ri-te-ed-de-e	constantly guide	1
ni-ši-ia	my people	1
i-qi₂-pu-u₃-ni	entrusted	1
ši-ri-ik-ti	present	1
GIŠ uš-pa-ri-im	staff	1
ra-bi₂-a	gre at	1
a-na	t o	1
er-ša	wise	1
d UTU	Šamaš	1
ad-kam-ma	I mus tered	1
šu-ur-šu-da	firmly-founded	1
a-na	worthy	1
ta-na-da-a-ti	of praise	1
aš-ta-ka-an	I made	1
d EN LIL₂	Enlil	1
i₃-li₂	of gods	1
a-ši-ir	who directs	1
e-ep-še₂₀-ti-ia	my deeds	1
da-am-qa₂-a-tim	good	1
ha-di-iš	with pleasure	1
na-ap-li-is-ma	look upon	1
i-ša-ar-tim	just	1
GIŠ ku-sa-a	throne	1
pa-le-e	dynasty	1
u₂-ul-lu-tim	earlier	1
u₄-mu-um	future	1
re-e-qu-tim	distant	1
in	through	1
ar-ba-ʾi-im	four	1
in	on	1
re-ša-an	peaks	1
e-la₂-a-tim	high	1
ši-ta-ad-du-hi	to ma rch	1
qi₂-bi₂-ti-ka	your command	1
in	by	1
ṣi-ir-tim	exalt ed	1
ši-ri-ik-ti₃	gift	1
ša	just	1
u₄-mu-um	times	1
um-ma-na-at	work men	1
u₄-mi-im	day	1
d EN LIL₂	of Enlil	1
šar-ru-ti-ia	my royal majesty	1
a-na	on	1
IM	sides	1
LIMMU₂ BA	four	1
i₃-ni-u₄-mi-šu	At that time	1
ne₂-met-ti- d EN LIL₂	Nēmetti-En lil	1
šal-hu-u₂-šu	outer wall	1
e-eš₁₅-ši-iš	anew	1
ab-ni-ma	I built	1
be-li₂-ia	my lord	1
ki-ma	as	1
u₂-na-mi-ir	bright	1
ki-ma	like	1
ma-aṣ-ṣa-ar-ti	protection	1
e₂-sag-il₂	of Esagil	1
KA₂ DINGIR MEŠ	Babylon	1
u₂-da-ni-in	I strengthened	1
DUMU MEŠ	citizens	1
ba-bi-lam KI	of Babylon	1
u₂-še-ši-ib	to live	1
ne-eh-ti	in peace	1
šu-ub-ti	allowed	1
ba-bi-lam KI	Babylon	1
ma-ha-az	cult center	1
EN	lord	1
ra-bi₂-im	great	1
d na-bi-um-IBILA-u₂-ṣu-ur₂	Nabopolassar	1
