AKK	ENG	Frequency
lu-ú	or	6
KI MAḪ	tomb	4
a-na	to	3
u	or	3
ina	in	3
šu-a-ti	this	3
ù	and	2
NUN	prince	2
LÚ šak-nu	governor	2
šá	who	2
KUR	land	2
e-ṣe-et-ti	bone	2
a-šar-šú	its position	2
d AMAR UTU	Marduk	2
EN	lord	2
GAL-ú	great	2
da-a-a-nu	judge	2
šá	of	2
la	not	2
m AN ŠÁR-NIR GÁL-DINGIR MEŠ	Aššur-etel-ilāni	1
KUR aš-šur	Assyria	1
ul-tu	from	1
re-e-mu	pity	1
ṣu-lul-šú	his protection	1
KUR aš-šur	of Assyria	1
LUGAL	king	1
šá⸣	whom	1
ṭa-a-bu	good	1
É- m da-kur	Bīt-Dakkūri	1
e-li-ka	over you	1
li-iš-⸢kun⸣	establish	1
m da-ku-⸢ru	Dakkurian	1
⸢MU⸣-ka	your name	1
NUMUN-⸢ka	your descendant	1
GÍD DA MEŠ	long	1
lu-ur-⸢rik⸣	lengthen	1
pa-le-e-ka	your reign	1
BÀD-šá-la-di-ni	Dūru-ša-Ladīni	1
ú-bil-la-áš-šum-ma	brought	1
ú-šá-aṣ-li-lu-šú	laid to rest	1
man-nu	Whoever	1
É-šú	his home	1
at-ta	you	1
lu-ú	whether	1
LÚ šá-pi-ru	commander	1
ina qé-reb	inside	1
iš-šak-ka-nu	is appointed	1
a-na	For	1
u₄⸣-me-⸢ka	your	1
KUR-šú	his country	1
ta-ḫa-aṭ-ṭu	do harm	1
ú-ṣur	look after	1
ṣi-il-li	protection	1
ṭa-a-bi	good	1
e-li-šú	over it	1
tu-ru-uṣ	extend	1
ba-la-ṭu	life	1
nap-šat-su	his life	1
a-na	for	1
mit-ḫur-ti	opposing forces agree	1
na-an-nab-šú	his seed	1
i-na	from	1
pi-i	mouth	1
UN MEŠ	of people	1
li-ḫal-liq	make disappear	1
d AG	Nabû	1
sa-ni-iq	who makes	1
u₄-me-⸢šú	of his days	1
NUMUN-šú	his descendant	1
GÍD DA⸣ MEŠ	number	1
mi-na-a-ta	cut	1
⸢li-kar-ri⸣	short	1
d U GUR⸣	Nergal	1
ina	from	1
di-iʾ	malaria	1
šib-⸢ṭu⸣	plague	1
šag-⸢ga⸣-áš-ti	slaughter	1
NUNUZ-šú	his offspring	1
MU-šú	his name	1
u₄-me	time	1
ib-ba-áš-šu-ú	appears	1
ṣa-a-ta⸣	all	1
lik-⸢ru -bu	bless	1
šum-ma	if	1
šu-ú	that	1
LÚ šá-pi-ru	commandant	1
i-gam-mi-il	spare	1
GÌR NÍTA	governor	1
i-ḫa-aṭ-ṭu-ú	harms	1
i-šem-mu-ú	he listens	1
ú-nak-ka-ri	changes	1
a-šar	place	1
šá-nam-ma	another	1
i-leq-qu-ú	taking	1
ù	or	1
man-ma	another person	1
le-mut-tum	wicked things	1
ú-šad-ba-bu-šú-ma	incites him	1
UTU-ib-ni m d	Šamaš-ibni	1
