AKK	ENG	Frequency
u	and	5
šá	who	5
LUGAL	King	5
d a-ḫu-ru-ma-az-da-ʾ	Ahuramazda	4
šá	of	4
šá	what	4
a-na-ku	I	4
LUGAL	king	3
m ḫi-ši-ʾ-ar-ši	Xerxes	3
ma-du-ú-tu	many	3
iš-ten	one	2
a-ga-ʾ	this	2
GIŠ MI	favor	2
i-qab-bi	says	2
u	And	2
AD-ú-a	my father	2
id-din-nu	created	2
ina	among	2
GAL-ú	Great	1
li-šá-nu MEŠ	of tongues	1
a-ga-a-ta	this	1
⸢GAL-ti	great	1
nap-ḫa-ar	totality	1
KUR KUR MEŠ	of lands	1
ru⸣-uq-qu-ti	far	1
qaq-qa-ru	of earth	1
LUGAL MEŠ	of Kings	1
DUMU	son	1
gab-bi	all	1
ib-nu-ú	made	1
mu-te-ʾ-e-me	rulers	1
LUGAL MEŠ	kings	1
m ḫi-ši⸣-ʾ-ar-ši	Xerxes	1
m a-ḫa- ma-an-ni -⸢iš⸣-ši-ʾ	Achaemenian	1
dum-qí	good fortune	1
id-din-nu	gave	1
a-me-lu-ú-tú	mankind	1
a-na	to	1
id⸣-din-nu	created	1
a-me-lu-ú-⸢tú	mankind	1
AN-e an-⸢nu⸣-ú-tu	sky	1
qaq-qa-ru	earth	1
GAL-ú	great	1
m da-a-ri-ia-a-muš	Darius	1
e-te-pu-uš	built	1
ina	By	1
bab-ba-nu-ú-tu	fine	1
ul-lu-ú-um-ma	things	1
li-iṣ-ṣur	protect	1
i-pu-uš-šu	built--those	1
e-pu-uš-šu	built	1
KUR KUR MEŠ-ia	my countries	1
LUGAL-ú-ti-ia	my kingship	1
a-na	for	1
li-iṣ-ṣur-an-ni	protect	1
a-na-ku	me	1
ni-te-pu-uš	we built	1
ina	by	1
bab-ba-nu-ú	fine	1
šá-nu-ú-ti-ma	things	1
ép-šá-ʾ ⸢im-mar-ru⸣	was built	1
a-ḫu-ru-ma-az-da-ʾ d	Ahuramazda	1
i -pu-uš-šu	built	1
šá	which	1
e-pu-uš -šu	built	1
⸢šá⸣	which	1
par-sa	Parsa	1
KUR	country	1
ina	in	1
e-te-pu-uš	I built	1
ul-lu-ú-tu	things	1
MU-šú	called	1
ú-ʾ-is-pi-da-a-ʾ-i	All Lands	1
a-ga-a	this	1
KÁ	gate	1
DINGIR	god	1
