AKK	ENG	Frequency
DINGIR MEŠ	of gods	7
a-na	to	4
LUGAL	king	3
e₂-sag-il₂	Esagil	3
GAL MEŠ	great	3
be-lu	lord	3
a-na	for	3
BAD₃	wall	3
da-rí-a-ti	eternity	3
ne₂-me₂-et-ta	support	2
gi-mir	all	2
d AMAR UTU	Marduk	2
e₂-zi-da	Ezida	2
KA₂ DINGIR RA KI	of Babylon	2
e-em-qa₂	wise	2
šá	of	2
ši-ṭi-ir	inscription	2
NUN	prince	2
a-na-ku	I	2
šu-us-su-mu	most befitting	1
qar-ra-du	of hero	1
i-qu-pu	had buckled	1
i-nu-šu-ma	had become shaky	1
iš-da-a-šu	foundations	1
im-gur- d EN LIL₂	Imgur-Enlil	1
i₃-nu-šu	At that time	1
ṭu₂-uh-hu-da-ak	lavishly	1
za-ni-nu	provides	1
E₂	temple	1
re-e-ši-šu	superstructure	1
e₂-mes-lam	Emeslam	1
ša₂	to	1
du-uš-ša₂-ku	abundantly	1
mim-ma	everything	1
ba-la-ṭu	of life	1
ša₂-ad	mountain	1
ṭe₄-em	will	1
i-ga-ru-šu	walls	1
it-ru-ur-ma	tottering	1
pu-tuq-qu	constantly attentive	1
na-a-du	attentive	1
mi-ṣi-ir	border	1
ki-na-a-ta	of orderliness	1
u₂-ṣur-ti₃	plan	1
da-ra-u₂	eternal	1
Apu-lu-uk-ku	boundary marker	1
UŠ 20 TA	of 20 UŠ	1
ku-du-ur-ru	boundary	1
KI TIN TIR	of Babylon	1
BAD₃ im-gur- d EN LIL₂	Imgur-Enlil	1
la	no	1
ad-ke-e-ma	I removed	1
qu-up-pu-tim	buckled	1
i-ga-ru-šu	wall	1
re-e₂-a-am	shepherd	1
du-un-nu-nim-ma	strengthen	1
ana	to	1
šu-a-ti	that	1
i-ši	had	1
šu-tu₂-ra-ku	foremost	1
ša₂	who	1
bi-nu-ut	creation	1
IL₂	brings	1
d ŠEŠ KI-ri	Nannāru	1
ni-bi-it	chosen	1
ka-la-ma	everything	1
ba-nu-u₂	creator	1
eṭ-lu	young man	1
mu-du-u₂	knowing	1
d nin-ši-ku₃	Ninšiku	1
bi-nu-tu	creation	1
mit-hur-tu₂	harmony	1
mu-kal-li-im	makes known	1
a-pil	heir	1
d MU U₂ A TI	Nabû	1
i-ti-it	selected	1
ma-al-ku	rulers	1
ba-na-a-ta	creatress	1
d E₄ RU₆	Erua	1
na-ab-ni-it	product	1
ABGAL	sage	1
aš-ra-a-ti₃	shrines	1
ṣa-ad-du	astrological signs	1
E₂ GAL	palace	1
ba-ša-a	mind	1
mu-ut-ne₂-en-nu-u₂	pious	1
dam-qa-a-ti	good relations	1
aš-te-ne₂-eʾ-e	assiduous	1
a-na	towards	1
KA₂ DINGIR RAKI	of Babylon	1
URU	city	1
mu-uš-te-ne₂-eʾ-u₂	one assiduous	1
ki-sur-ra-a	ground plan	1
uz-na-a-šu	focused on	1
a-gi-i	of crown	1
md na-bi-um-ba-lat-su-iq-bi	Nabû-balāssu-iqbi	1
DUMU	son	1
u₃	and	1
zi-in-na-a-ti	provisioning	1
pu-luh-tu₄	devotion	1
iš-te-ne₂-eʾ-u₂	assiduous	1
u₄-mi-šam-ma	every day	1
ša	who	1
šu-ur₂-šu-du	firmly-founded	1
a-a-bi	enemies	1
šu-un-du-lu	wide-stretching	1
a-a-bi-ia	my enemies	1
lu-re-ʾe-e	may I shepherd	1
te-né-še-e-ti	humankind	1
ṣal-mat SAG DU	black-headed	1
nap-ḫar	entirety	1
kib-ra-a-ti	quarters	1
ka-li-iš	all	1
re-é-ú-si-na	shepherdship	1
lu-pu-uš	I may exercise	1
šu-um-qí-it	Cut down	1
lu-be-el	rule over	1
šá-ni-na	rival	1
ar-šá-a	I have	1
a-a	no	1
lit-tu-tu	old age	1
lu-uš-ba-a	I may be sated	1
ba-la-ṭi-ia	of my life	1
UD MEŠ	days	1
šu-ri-ik	Prolong	1
ma-ḫa-ar-ka	in your presence	1
na-gab-šu-un	all of them	1
LUGAL MEŠ	kings	1
li-bur-ma	stays in good repair	1
pa-li-iḫ-ka	who reveres you	1
aš-ri-ka	your place	1
mu-uš-te-ʾu-ú	assiduous	1
za-nin-ku	who provides for you	1
lu-ú	May	1
šu-um-šu	his name	1
i-ba-ʾi-il	will be important	1
ba-la-ṭu	vigor	1
uṣ-ṣa-ab	he will increase	1
i-lab-bi-ir	will live	1
be-lu-su-un	dominion	1
a-ši-ib	who sit	1
lu-pu-uš	exercise	1
lu-ki-in	may I impose	1
GIŠ NÍG GIDRU	scepter	1
e-li-šu-nu	upon	1
mé-e	water	1
nag-bi	spring	1
iš*-ta*-na-at-tu-ú	they drink	1
ša	wherever	1
pa-rak-ku	dais	1
li-ku-un	endures	1
e-te-ep-pu-šu	I have built	1
tu-uk-šu	shield	1
šum-šu	I supply	1
ú-šar-ši-id-su	made secure	1
mé-la-a-šu	high parts	1
ú-zaq-qí-ir	I raised up	1
ša-da-ni-iš	like mountain	1
ú-pat-tin-ma	made firm	1
kin-né-e	mountains	1
ki-ma	like	1
hi-iṣ-bi	abundance	1
IGI SA₂-e	in gifts	1
ú-da-an-ni-in	I strengthened	1
aš-ták-kan-šu	I established	1
i-ši-id-su	foundation	1
ba-ú-la-a-ti	people	1
tuk-la-tu₄	rely	1
re-eš-tu-ú	foremost	1
ma-ḫa-za	cult center	1
DINGIR MEŠ	gods	1
pa-ni	before	1
e-di-il	bolts	1
da-num₂	strong	1
tab-ra-a-tú	of wonder	1
úḫu-mi-iš	great mountain	1
mi-im-mu-ú	whatever	1
