AKK	ENG	Frequency
BÀD	wall	2
d AMAR UTU	Marduk	2
KÁ DINGIR RA KI	Babylon	2
ša	in	1
ša	of	1
ki-gal-lim	socle	1
in	before	1
i-qú-pu	collapsed	1
ul-la-nu-ú-a	had	1
i-ni-šu	become weak	1
ša	which	1
im-gur- d EN LÍL	Imgur-Enlil	1
ra-bí-a-am	great	1
ú-ki-in	I firmly set	1
a-na-ku	I	1
ù	and	1
d na-bi-um	Nabû	1
ti-ri-iṣ	protégé	1
RA KI KÁ DINGIR	of Babylon	1
LUGAL	king	1
re-eš-ti-im	original	1
di-ku-ut	mustered	1
uš-ši-šu	foundations	1
ki-ma	like	1
da-mi-iq-ta	favorable things	1
EN-ia	my lord	1
a-na	to	1
ú-ul-lu	I raised	1
re-ši-šu	superstructure	1
ul-lu-tim	earlier	1
u₄-um	times	1
ú-ša-às-ḫi-ir	I surrounded	1
um-ma-nim	people	1
IM	sides	1
a-na	on	1
LÍMMU BA	four	1
ab-ni-ma	I built	1
eš-ši-iš	anew	1
ma-ti-ia	from my land	1
ti-iz-ka-ar	speak	1
d na-bi-um-IBILA-ú-ṣu-úr	Nabopolassar	1
