AKK	ENG	Frequency
LUGAL	King	7
šá	who	5
ga-ab-bi	all	4
d a-ḫu-ur-ma-az-da-ʾ	Ahuramazda	4
ib-nu-ú	created	4
m ḫi-ši-ʾ-ar-šá-ʾ	Xerxes	3
LUGAL	king	3
ù	and	3
šá	of	3
AD-ú-a	my father	2
at-tu-ú-a	own	2
GAL-ú	Great	2
šá	what	2
UN MEŠ	people	2
a-na-ku	I	2
KUR KUR MEŠ	of lands	2
nap-ḫa-ar	totality	2
DINGIR MEŠ	gods	2
a-ga-a-ta	this	2
it-ti	along with	2
m da-a-ri-ia-a-muš	Darius	2
LUGAL MEŠ	of Kings	1
ú-ta-ʾ-a-ma	rules	1
du-un-qu	good fortune	1
e-diš-ši-šú	alone	1
a-na	over	1
ma-du-ú-tum	many	1
LUGAL LUGAL MEŠ	kings	1
id-din-nu	gave	1
a-na	to	1
er-ṣe-tim	earth	1
AN-e	sky	1
ra-bu-ú	great	1
li-šá-nu	of tongues	1
m a-ḫa-ma-an-ni-iš-ši-ʾ	Achaemenian	1
qaq-qa-ri	of earth	1
i-te-pu-ús-su	built	1
li-iṣ-ṣur	protect	1
a-ga-šu-ú	that	1
ù	also	1
i-pu-uš-šu	built	1
e-pu-uš-šu	built	1
li-iṣ-ṣur-an-ni	protect	1
a-na-ku	Me	1
ṣi-il-li	protection	1
ra-bi-i-ti	great	1
a-ga-a	this	1
bi-it	house	1
i-na	Under	1
i-qá-ab-bi	says	1
m da-a-ri-ia-a-muš	of Darius	1
A	son	1
ra-pa-áš-tum	wide	1
DINGIR	god	1
