AKK	ENG	Frequency
u3	and	14
d utu	Šamaš	7
_lugal	_king	6
sza	which	5
d a-a	Aya	5
e2-babbar	Ebabbar	4
ki-ma	like	3
in	with	3
sa-am-su-i-lu-na	Samsu-iluna	3
_bad3	_wall	3
d utu	of Šamaš	3
a-na	to	3
a-na	into	3
zimbir ki	Sippar	2
qi2-bi-it	command	2
szu-a-ti	that	2
d marduk	Marduk	2
a-na	for	2
d iszkur	Adda	2
zimbir ki	of Sippar	2
d en-lil2	Enlil	2
re-sza-tim	joy	2
sza-at-tim	year	2
el-le-tim	sacred	2
szu-ub-ti-szu-nu	their residence	2
in	in	2
re-szi-sza	its head	2
ar-ba-im	four	2
ba-la-t am	life	2
sza	of	2
lu	indeed	2
_kalam	_country	2
szu-me-ri-im	of Sumer	1
isz-ti-a-at	one	1
li-ib-bu	within	1
i-ze2-ru-ni-in-ni	had become hostile to me	1
ak-ka-di-im	Akkad	1
za-i-ri-ia	of hostile to me	1
ma-at	of land	1
isz-tu	Since	1
na-ap-ha-ar	totality	1
u4-um	day	1
s i-a-tim	distant	1
isz-tu	when	1
i3-nu-szu	At that time	1
a-di	times	1
u2-sze-szi-ib	I to dwell	1
lu	made	1
_iri-iri	_cities	1
qi2-bi-ti-ia	my command	1
a-na	under	1
na-ap-ha-ar	whole	1
as-su-uh2	I tore out	1
in	from	1
le-em-nim	evil ones	1
a-ia-bi	of enemies	1
_suhusz	_foundations	1
8 disz -szu	8	1
u2-te-er	I turned	1
gesz tukul	weapons	1
kar-mi	ruins	1
_du6-du6	_mounds	1
a-du-uk	I slaughtered	1
id-di-isz-szum	he gave to him	1
is-si-a-ni-ma	called	1
e-pe2-sza-am	to built	1
ul-la-a-am	to raise up	1
sza-me-e	heavens	1
s i-ra-am	lofty	1
gi-gu-na-szu	high terrace	1
_u6-nir	_ziggurrat s	1
tu-ur-ra-am	to return	1
asz-ri-szu	its previous condition	1
_bad3_-szu	its wall	1
e-re-ba	to let enter	1
ip-pa-al-su2-ma	looked	1
dam-qu2-tim	excellent	1
bu-ni-szu	his features	1
a-na	at	1
ma-ta2-tim	lands	1
i3-li2	gods	1
ra-bi-um	great	1
be-lum	lord	1
hi-di-a-tim	rejoicing	1
pi2-szu	his utterance	1
ha-di-isz	gladly	1
it-ta-asz-ka-an-szum	having been established for him—	1
u2-wa-e-ra-an-ni	gave me	1
te-er-tam	order	1
ia-ti	me	1
qa2-ti-szu	of his hand	1
e2-babbar	of Ebabbar	1
li-pi2-it	creation	1
szar-ra-am	king	1
hi-du-tim	joyfylly	1
la	cannot	1
i-szi-mu	had decreed	1
ra-bi-a-tim	great	1
szi-ma-tim	destinies	1
szul	_youthful	1
_ur-sag	hero	1
i3-nu-szu	at that time	1
iq-bi-u3	commanded	1
ut-ta-ak-ka-ru	altered	1
_sig4	_brickwork	1
ki-ib-ra-at	of quarters	1
ib-ba-ni-u3	had been constructed	1
me-te-lu-tam	dominion	1
szar-ru-ti-szu	his kingship	1
re-esz	head	1
mu-ul-li	one raises	1
szu2-a-ti	this	1
a-na	For	1
szum-szu	its name	1
du-un-nam	power	1
isz-ru-uk-szum	has given	1
li-ib-bi-im	of heart	1
szu-u2	That	1
asz-ku-un	I executed	1
e-pu-usz	I did	1
t a-bu	was pleasing	1
d utu	to Šamaš	1
u2-te-er	I returned	1
da-mi-iq-tam	favorable	1
t u2-ub	happiness	1
da-ra-a-am	everlasting	1
a-na	To	1
da-an-nam	strong	1
a-na	as	1
e-pe2-sza-am	exercise	1
da-ar	forever	1
ki-ib-ra-at	quarters	1
be-lu-ut	rule over	1
na-ki-ri	enemies	1
ma-asz-ka-asz	slays	1
gesz tukul	_weapon	1
szar-ru-tam	kingship	1
_kalam	_land	1
mu-ki-in-na-at	that makes secure	1
mi-sza-ri-im	of justice	1
_gidri	_scepter	1
i-szu-u2	has	1
la	none	1
sza-ni-nam	rival	1
d lamma_-szu	its guardian genius	1
u2-sze-ri-ib	I caused to enter	1
in	among	1
da-num2	mighty	1
a-na-ku	I—	1
ma-ag-ra-at	find favor	1
it-ti	with	1
qi2-bi2-su2	decrees	1
sza	whose	1
qi2-isz-ti-szu	his gift	1
babila2 ki	of Babylon	1
na-ra-am	beloved	1
in	by	1
i-pu-szu-szum-ma	build for him	1
la	not	1
d utu	by Šamaš	1
im-gu-ru-ma	had been favored	1
ma-am-ma-an la	no	1
mah-ra	former	1
_lugal	_kings	1
in	at	1
ti-bu-ut	levy	1
hi-du-tim	rejoicing	1
u2-ul-li	I raised up	1
i-na	in	1
u2-ul-li	I raised	1
sza-me-e	heaven	1
s i-ra-am	exalted	1
gi-gu-na-szu-	their high terrace	1
_u6-nir	_ziggurrat	1
u2-ud-di-isz	I renovated	1
ra-bi-im	great	1
um-ma-an	of army	1
_sa-tu_-im	mountain	1
al-bi-in	I formed	1
_sig4_-szu	its bricks	1
ma-ha-su2	his cult	1
s i-a-tim	ancient	1
_iri	_city	1
li-ib-bu	middle	1
ma-ti-ia-ma	of my land	1
i3-nu	When	1
