AKK	ENG	Frequency
šá	who	5
LUGAL	King	4
u	and	3
m ḫi-ši-ʾ-ar-ši	Xerxes	3
d a-ḫu-ru-ma-az-da-ʾ	Ahuramazda	3
id-din-nu	created	3
e-pu-uš-šu	I built	2
GAL-ú	Great	2
iš-ten	one	2
a-na-ku	I	2
qaq-qa-ru	earth	2
a-na	to	2
id-din-nu	gave	2
šá	of	2
e-pu-uš-šu	built	2
LUGAL	king	2
LÚ UN MEŠ	people	1
a-na	for	1
LUGAL MEŠ	kings	1
ma-du-ú-tu	many	1
dum-qí	good fortune	1
LÚ-lut-ti	mankind	1
LUGAL-ú-ti	kingship	1
AN-e an-nu-ti	sky	1
a-ga-a	this	1
GAL-ú	great	1
ma-du-ú-tu	of many	1
LUGAL MEŠ	of Kings	1
KUR KUR MEŠ	of lands	1
nap-ḫa-ar	totality	1
li-šá-nu MEŠ	of tongues	1
i-te-ʾ-e-ʾ	ruler	1
A	son	1
a-ga-a-ta	this	1
gab-bi	all	1
LUGAL-ú- ti-ia	my kingdom	1
DINGIR MEŠ	gods	1
it-ti	along with	1
li-⸢ṣur⸣-an-ni	protect	1
a-na-ku	Me	1
e-te-pu-uš	I built	1
ma-la	that	1
GIŠ MI	favor	1
i-na	by	1
a-gan-na	here	1
GAL-ti	great	1
šá-nam-ma	another	1
qaq-qa-ru	place	1
ina	in	1
šá	What	1
i-qab-bi	says	1
m a-ḫa-ma-an-niš-ši-ʾ	Achaemenian	1
m da-a-ri-ia-a-muš	of Darius	1
šá	what	1
ru-uq-qu-ti	far	1
DINGIR	god	1
