AKK	ENG	Frequency
a	not	5
u3	and	4
d inanna	Ištar	2
na-ra-am- d suen	Naram-Sin	2
a-na	for	2
d en-lil2	Enlil	2
_mu_-mi	name	2
u3	or	2
da-nim	mighty	2
-ma	my	1
be-al	lord	1
d suen	Sin	1
i-qa2-bi-u3	He say	1
su4-a	owner	1
su-ku8-un	put	1
_dul3	_of statue	1
an-nu-ni-tum	Annunitum	1
an	An	1
u-ra-pi2-ISZ	increase	1
u-kal2-la-mu-ma	he show	1
pi5-szix SU4 -it	erase	1
_mu_-su-me	‘His name	1
d suen	Sîn	1
na-ka3-ra-am	foreign	1
_lu2_-lam	person	1
i-qa2-bi-u3	say	1
_dul3_-mi-me	my statue’	1
i-sa-ka3-nu-ma	put	1
_mu_-su	his name	1
_dul3	_statue	1
al	upon	1
u-sa-sa3-ku-ma	remove	1
ar-ba-im	four	1
ki-ib-ra-tim	of world quarters	1
_lugal	_king	1
il3-a-ba4	Ilaba	1
d nin-kar-ak	Ninkarak	1
d utu	Šamaš	1
d nin-hur-sag-ga2	Ninḫursaga	1
_gesztu2	_wisdom	1
li-im-du2-ud	block up	1
_i7_-su	his canal	1
d en-ki	Enki	1
u3-se-si-ra	flourish	1
si-ri2-ih-su	his furrows	1
d nisaba	Nisaba	1
d iszkur	Adad	1
i-di3-na-sum4	give	1
_mu	_fame	1
_nita	_male	1
d nin-tu	Nintu	1
_du	_he walk	1
d nergal	Nergal	1
i3-li2-su	his god	1
mah-ri2-isz	Before	1
u-ki2-il	he hold	1
szar-ru-tam2	kingship	1
_gidri	_scepter	1
li-ru-ru-usz	curse him	1
la-mu-tam2	terrible	1
ar-ra-tam2	with curse	1
_szunigin_-su4-nu	their totality	1
in	in	1
ra-bi2-u3-tum	great	1
_dingir	_gods	1
d u-um	Ûm	1
ma-na-ma	Whoever	1
