AKK	ENG	Frequency
u3	and	3
a-na	to	2
li-il-qu3-ta2	snatch away	1
szar-ri2-su-nu	enemies’ kings	1
_sag-gesz-ra	_He conquered	1
ma2-gan ki	Magan	1
u-sa-ri2-ib	brought them	1
d en-lil2	Enlil	1
mah-ri2-isz	before	1
i-ik-mi-ma	he captured	1
3 asz	three	1
sza-ir	victor	1
1 u@c la2 1 asz@c	nine	1
_en	_lord	1
1 asz@c	a	1
_mu	_year	1
in	in	1
REC169	battles	1
ar-ba-im	four	1
ki-ib-ra-tim	quarters of world	1
_lugal	_king	1
da-num2	mighty	1
ma-ni-um	Manium	1
in	from	1
du8-a	_captured	1
sza	Whoever	1
li-su2-ha	tear out	1
_suhusz_-su	his foundation	1
a-ga-de3 ki	of Agade	1
_dingir	god	1
d utu	Šamaš	1
u-sa-sa3-ku-ni	removes	1
su4-a	this	1
_dub	_inscription	1
mu-ru	_He dedicated	1
_sze-numun_-su	his seeds	1
_a	statue	1
d	god	1
ib-ni	he created	1
_dul3_-su	statue of himself	1
u-bi2-lam-ma	brought it	1
a-ga-de3 ki	Agade	1
i-pu-lam-ma	He quarried	1
_na4-na4	_diorite	1
sa-du2-su-nu	their mountains	1
d na-ra-am- d suen	Naram-Sin	1
