AKK	ENG	Frequency
d en-lil2	Enlil	3
_lugal	_king	2
i3-li	of gods	2
a-na	to	2
d szar-ka3-li2-szar3-ri2	Šar-kali-šarri	1
ma-na-ma	Whoever	1
_mu_-su	his name	1
u-sa-sa3-ku-ma	shall remove	1
d en-lil2	of Enlil	1
_e2	_temple	1
si-t i3-ir-ti	my inscription	1
e3-la-kam	he would go	1
i-za-az	he would stand	1
al-su	beside him	1
nibru ki	Nippur	1
a-bi2-su	his father	1
mah-ri2-isz	before	1
_dumu	_son	1
da-di3-su	his beloved	1
i-sa2-ka3-nu-ma	place	1
szar-ka3-li2-szar3-ri2	Šar-kali-šarri	1
na-ak-ri2-im	stranger	1
na-ab-sze3-i-su	his storehouse	1
_|DU DU|_-ta	Written	1
li-il-qu3-ta2	pluck up	1
_sze-numun_-su	his seed	1
li-di3-na	decide	1
di-in-su	his case	1
x-ra-bu-szu	shall	1
in	in	1
_mu	_name	1
lu	who	1
u3	or	1
i-qa2-ab-bi-u3	shall say	1
su-t ur	write	1
su-mi	my name	1
su-si2-ik	remove	1
sar-ra	base	1
szar-ka3-li2-szar3-ri2 d	Šar-kali-šarri	1
