AKK	ENG	Frequency
u₃	and	9
ša₂	of	4
ša	of	4
d AG	of Nabû	3
d AMAR UTU	Marduk	3
d AG-IBILA-URU₃	Nabopolassar	2
ma-at-ak-ka-di-i	land of Akkad	2
ni-ši	people	2
šar-rat	queen	2
a-na-ku	I	2
EN	lord	2
DINGIR MEŠ	of gods	2
ša	who	2
KUR	land	2
LUGAL	king	2
ab-ba-nu-u₂	I was created	1
i-na	in	1
a-na	for	1
ib-re-e-ma	he observed	1
d MAŠE₂	Ninurta	1
ŠA₃-ia₂	my intention	1
ut-tu-u₂ša₂	could be found	1
la	not	1
i-na	among	1
ṣa-ah-ra-am	child	1
ia-a-ši-im	for me	1
a-na	over	1
re-še-e-ti	pre-eminent	1
be-lu-ut	dominion	1
mim-ma	everything	1
i-da-a-a	my side	1
u₂-ša-li-ik	march	1
dan-dan-ni	almighty	1
d NE₃ ERI₁₁ GAL	Nergal	1
u₂-ša-li-im	successfully undertake	1
ši-ip-ra-am	allowed	1
e-te-ep-pu-šu-um	I did	1
ina i-di-ia₂	beside me	1
ma-a-ti	land	1
dum-qi₂	good	1
d LAMMA	lamassu	1
ni-bi-tau₂-ša₂-lik	name walk	1
it-ta-bi	He called	1
iš-ku-na-an-ni	made me	1
i-bar-ru-u₂	observes	1
ni-šu	people	1
ka-a-a-ni	constantly	1
AN-e	heaven	1
ni-ši-im	of people	1
d taš-me-tum	Tašmētu	1
la ma-am-ma-na-ma	of nobody	1
DUMU	son	1
me₂-eṣ-he-ru-ti-ia	my childhood	1
i-na	during	1
i-nu-um	When	1
d nin-ši-ku₃	of Ninšiku	1
na-ra-am	beloved	1
NUN	prince	1
ti-ri-iṣ	protégé	1
aš₂-rat	shrines	1
šar-ra-a-tim	of queens	1
ṣi-ir-tim	exalted	1
ru-ba-ti	princess	1
d nin-men-na	of Ninmenna	1
bi-nu-ut	creation	1
d AMAR UTU	Marduk by	1
ni-bi-it	chosen	1
E₂ UM RE	shepherd	1
a-nu-ku-ma	I was	1
EN-e-a	my lords	1
ta-ka-la-at	ingenious behavior	1
mi-ša-ri	justice	1
KI-tim	earth	1
a-a-bi-ia	my enemy	1
DINGIR ME	of gods	1
mu-du-u₂	who knows	1
ŠA₃	hearts	1
ša₃-zu	Šazu	1
uz-na-a-ad	my attention	1
ba-ša-a	was set	1
kit-ti	truth	1
aš₂-te-ne₂-eʾ-e-a	I was assiduous towards	1
a-na	on	1
ku-un-ni	making secure	1
ka-ba-at-ti₃	mind	1
i-ta-ma-a	pondered about	1
ki-du-de-e-šu-nu	kidudû-rites	1
šu-ul-lu-mu	properly administering	1
pa-ar-ṣi-šu-nu	their rites	1
ka-a-a-nim	constantly	1
i-na-ar	he killed	1
i-be₂-lu-mai-na	had ruled over	1
u₂-ša-am-qi₃-it	cut down	1
tuk-šu	shield	1
šum-du-lu	wide	1
TUR₃	courtyard	1
a-a-bi	of enemies	1
pi-i	entrance	1
e-di-il	bolts	1
dan-nu	strong	1
ša₂-ma-mi	heavens	1
ki-sal-lu	forecourt	1
šit-nu-nu	rivals	1
ša₂	that	1
zaq-ru	high	1
ki-in-na-a	mountain	1
UD MEŠ	for eternity	1
du-ur₂	all	1
la-bar	has endured	1
di-gi₄-gi₄	Igīgū	1
pal-ka-a	broad	1
šu-ur₂-šu-du	firmly-founded	1
d INANNA	Ištar	1
ka-ra-šu	camp	1
TUR₃	enclosure	1
qu-ra-du	warrior	1
d da-gan	Dagān	1
til-pa-nu	of bow	1
maš-kan	site	1
ra-bi-tim	great	1
ib-rat	cult niche	1
da-nun-na-ki	Anunnakū	1
d mes-lam-ta-e₃	Meslamtaʾe	1
d lugal-gir₃-ra	of Lugal-girra	1
na-an-za-az	station	1
ga-an-zer₃	to netherworld	1
sim-mi-lat	ladder	1
ša-ma-mi	to heavens	1
me₂-lit	stairway	1
ša	that	1
ki-sur-ra-a	ground plan	1
ga-ri-ia	my opponent	1
u₂-ša₂-az-zi-qu	had made suffer	1
ga-aš₂-ra-a-tim	powerful	1
e-mu-qi₂	strength	1
i-na	with	1
EN EN	of lords	1
mu-uš-te-eʾ-u₂	assiduous towards	1
pi₂-is-nu-qu	powerless	1
en-šu	weak	1
ma-a-ti	of land	1
EN MEŠ-e-a	my lords	1
ka-ab-tim	heavy	1
ni-ri-šu	yoke	1
qar-ra-du	warrior	1
i-na	because of	1
ze-ru-ut	hatred	1
ša₂	who	1
aš₂-šu-ru-u₂	Assyrians	1
d AG	Nabû	1
ul-tu	from	1
iš-tu	since	1
BAD₃	wall	1
šu-pu-u₂	has been manifest	1
ṣa-a-tim	distant past	1
ša₂	which	1
reš-ta-a	original	1
KIBULUG	boundary marker	1
ba-bi-lim	Babylon	1
ra-ba-a	great	1
im-gur- d EN LIL₂	Imgur-Enlil	1
še-ep-šu-nu	them	1
ŠA₃	heart	1
mu-ṭib	who pleases	1
ba-bi-lu KI	of Babylon	1
i₃-nu-šu	At that time	1
ni-ir-šu-nu	their yoke	1
u₂-ša-ad-di-im	had cast off	1
ap-ru-us-ma	I barred	1
mi-ša-ri	of justice	1
