AKK	ENG	Frequency
LUGAL	king	5
ù	and	4
ZIMBIR KI	of Sippar	2
É	temple	2
d NIN	Divine Lady	2
ú-ša-ak-ši-du-šu	to attain	1
ni-iz-⸢ma-su⸣	his desire	1
à-aš-ri-im	humble	1
ša-aḫ-ṭam	respectful	1
⸢mu⸣-uš-te-eʾ-e-em	strives after	1
sak-ke-e-em	rites	1
ša	of	1
DINGIR DINGIR	gods	1
GAL GAL	great	1
re-e-qú-tim	distant	1
ep-še-tu-šu	deeds	1
LUGAL LUGAL	of kings	1
AD AD-šu	his ancestors	1
a-na-ku	I	1
šu-tu-qá	surpass	1
e-li	those	1
e-nu-ma	When	1
ša-aš-šu	Šaššu	1
EN	lord	1
ra-bí-ù	great	1
ša	whose	1
d èr-ra	Erra	1
ra-šu-⸢ub⸣- bu	aweso me	1
na-aʾ-dam	pious	1
da-⸢núm⸣	strong	1
⸢KÁ DINGIR⸣ RA ⸢KI⸣	of Babylon	1
MA DA-šu-me-rí-im	of land of Sumer	1
ak-ka-di-i	Akkad	1
iš-di	foundations	1
MA DA	of land	1
⸢mu⸣-ki-in	who makes firm	1
ru-ba-a-am	prince	1
ti-ri-iṣ	protégé	1
il-li-ku-ma	came	1
d na-bi-um	of Nabû	1
d AMAR UTU	Marduk	1
mi-gi-ir	favorite	1
ša-aš-šu	of Šaššu	1
⸢na⸣-ra-am	beloved	1
d ⸢a-a⸣	of Aya	1
qar-ra-ad	warrior	1
qar-ra-⸢de⸣- e	of war riors	1
⸢ša⸣	whom	1
i-da-a-a	my side	1
MA DA	land	1
su-ba-ru-um	Subarean	1
ki-ma	like	1
⸢e-ma⸣	whenever	1
šu-a-ti	this	1
uš-ta-ak-la-lu-ma	I complete	1
ta-ra-am-mi-i-im	you take up residence	1
qé-re-eb-ša	inside	1
ia-a-ši	for me	1
d na-bi-um-IBILA-ú-ṣu-úr	Nabopolassar	1
za-ni-in-ki	who provides	1
SIG₄ SIG₄	bricks	1
šu-úr-bu-tim	supreme	1
ZIMBIR ⸢KI⸣	of Sippar	1
KÁ DINGIR RA KI	Babylon	1
ku-un-na-am	firmly in place	1
a-na	which	1
šar-ru₄-tim	kingship	1
ṣi-a-tim	for eternity	1
šu-ul-bi-ri-im	prolong	1
a-na	until	1
be -⸢el-tim⸣	la dy	1
ša-at-tim	this	1
-na-ru a	I killed	1
a-na	for	1
u₄-mi-im	future	1
za-ʾe-e -ri-ia	of my ene my	1
ú-te-er-ru	turned	1
⸢a⸣-na	into	1
⸢ù	of	1
DU₆	mound	1
ka⸣-ar-mu	ruins	1
⸢ì⸣-nu-mi-šu	at that time	1
ru-ba-tim	princess	1
a-na	On account of	1
ṣi-ir-tim	exalted	1
GAŠAN-ia	my lady	1
é-edin-na	Eedinna	1
ta-ap-šu-úḫ-ti-šu	she can relax	1
e-eš-ši-iš	anew	1
e-pu-uš-ma	I built	1
ki-ma	as	1
u₄-mi-im	day	1
ú-na-mi-ir	bright	1
d na-bi-um-IBILA-ú-⸢ṣu⸣- úr	Nabopolassar	1
