AKK	ENG	Frequency
u3	and	8
in	in	7
_nu-banda3	_captain	7
da-num2	mighty	7
na-ra-am- d suen	Naram-Sin	7
_kaskal	_campaign	5
_ensi2	_governor	5
ra-bi2-a-ni	chiefs	4
a-na	to	4
d en-lil2	Enlil	4
unu ki	of Uruk	4
ba-sa-ar	Bašar	3
i-ik-mi	he captured	3
_szunigin	Grand Total	3
mar-tu ki	of Amurru	3
_szunigin szunigin	grand total	3
lu	indeed	3
si-si-il3 ki	Šišil	3
_sa-tu_-i3	mountain	2
gurusz gurusz	_men	2
u-sa-am-qi2-it	he struck down	2
i-bi-ir-ma	he crossed	2
u3	Further	2
_gurusz gurusz	_men	2
in	at	2
ensi2 ensi2	_governors	2
disz ur-	Ur-	2
lagasz ki	of Lagaš	2
la	not	2
_lugal	_king	2
_ensi2 ensi2	_all governors	2
in	by	2
a-li2-a-tim	of Upper	2
_gurusz	_men	2
_unu ki	Uruk	1
_REC169	_battle	1
an-nu-ni-tum	of Annunitum	1
_di-ku5	_verdict	1
i-ta-ah-za-ma	they grappled	1
is-ku8-na-ma	engaged	1
ki2-nim	truth	1
asz a-ba-x-x	Aba-	1
isz11-ar	victorious	1
_szu-nigin2	_total	1
iri ki	city	1
_abba2	elder	1
disz en-lil2-gal-zu	Enlil-galzu	1
_szagina	_general	1
disz e2-ku3	Ekug	1
asz amar-giri16#	Amar-girid	1
7 gesz u 8 asz	4208	1
1 u la2 asz	9	1
adab ki	Adab	1
inim d utu-zi	Inim-Utuzi	1
asz a-ba- d en-lil2	Aba-Enlil	1
umma ki	Umma	1
ur- d ansze szagan AMA sza-gan -DU	Ur- d szagan-DU	1
nu-banda3	captain	1
_REC169	_in battle	1
asz DU-x	DU-x	1
asz tab_-su	his companions	1
_dub-sar erin2	_troop scribe	1
is- ku8 -ni-a-ma	he engaged	1
a-ka3-de3 ki	of Agade	1
ik-su4-ud-su4-ma	met him	1
it-ma2-u3-ni-su4-ma	they swore this	1
u-na-as2	I shall dislodge	1
u3-lu	or	1
li-mu-ut	he shall die	1
u3-lu	either	1
lu-li-ik-ma-mi3	let me go	1
e3-ru-ur-ma	I did curse	1
asz amar-giri16	Amar-girid	1
i-pa2-la-hu	they revere	1
a-si-ma-num2 ki	Ašimanum	1
il3-a-ba4	Ilaba	1
ki-ma	since	1
szubur ki	of Subartum	1
_en en	_All lords	1
is-tap-pa2-ar-ma	he kept on sending	1
ki szubur	of Subartum	1
_en en	_all lords	1
isz-tum	From	1
in	At	1
_sa-tu_-i3	mountin	1
_gal-sukkal	_chief minister	1
a-na	at	1
burunun i7 -tam2	Euphrates River	1
ha-ab-sza-at ki	to Habšat	1
i-gu-us2-ma	He marched	1
ib-tu	he set out	1
pa2-ni-su4	meet him	1
_szu-du8-a_-ma	did capture	1
nu-banda3_-e	lieutenants	1
_idigna i7	Tigris River	1
_1 u la2 1 asz	9	1
isz-ma2-su4-ma	learned of him	1
e3-il-li2-a-am	he ascended	1
_buranun i7 _-tam2	Euphrates River	1
_buranun i7	Euphrates River	1
pu-ti	beside	1
isz-tum	from	1
disz lugal-sa6	Lugal-sag	1
disz DU ki	DU	1
disz d utu-mu-gi4	Utu-mugi	1
_lugal	_kings	1
u-kal2-lim	showed	1
1 u 3 szar u 7 gesz u la2 1 gesz2	118 140	1
2 gesz u 1 u	1210	1
_szunigin szunigin	_grand total	1
3 u 3 asz	33	1
szagina szagina	_generals	1
1 u 3 asz	13	1
2 asz	2	1
i-ik-mi	captured	1
szunigin szunigin	total	1
n	n	1
n	_of n	1
_szunigin szunigin	total	1
1 szar2 n +3 gesz u 5 asz	5405+	1
1 gesz u 3 u la2 2 asz	628	1
2 u la2 3 asz	17	1
ma-la2-su4-nu	as many as there were	1
_szu-nir_-ni-su-nu	their standards	1
_szunigin2	Grand Total	1
szar-ri2	kings	1
u-sa2-ri2-bu-su-nu	bring them in	1
i-ik-mi-su-nu-ma	capture them	1
be-li3-su	his lord	1
il3-a-ba4	of Ilaba	1
_szita2	_mace	1
an-nu-ni-tim	Annunitim	1
d inanna	of Inanna	1
ma-la2-su-nu	All of them	1
_ka2-ka2	_gates	1
ki2-ni-isz-ma	true	1
su-ra-tum	falsehoods	1
u2-ma2	I swear	1
an-nu-ni-tam	Annunitim	1
d inanna	Inanna	1
u-sa-bi-ir	he handed in	1
i3-li-su	of his gods	1
6 asz szagina szagina	_6 generals	1
szaga	_prisoners	1
_szabra-e2	_estate administrator	1
disz ur- d idigna	Ur-Idigna	1
disz ad-da-tur	Addatur	1
disz ba-lu5	Balul	1
uri5 ki	of Ur	1
disz i-sar-ru-um	Išarum	1
_unu ki _-u3	Urukeans	1
disz ur-gidri	Ur-gidri	1
disz |IRIxX| ki	IRIxX	1
disz sipa-de3	Sipade	1
disz lugal-du11-ga-ni-zi	Lugal-duganizi	1
disz x-ad	-ad	1
disz szesz-lu2-x-x	Šešlu-	1
disz nimgir-si	Nimgirsi	1
disz a2 -kal -le	Akale	1
_nibru ki -u3	Nippurians	1
disz nig2-DAGAL	Nig2-DAGAL	1
disz ur- d en#-	Ur-En-x	1
disz tir -ku3	Tirkug	1
disz e2-zi	Ezi	1
_8 gesz u 3 asz	4803	1
_nu-banda3_-u3	captains	1
u3	also	1
3 u 1 asz	31	1
szunigin	Total	1
_mar-tu mar-tu	_of Amorites	1
ugula	foreman	1
disz kin-gi4 -a	messenger	1
disz be-li2-li2	Belili	1
nibru ki	of Nippur	1
_umma ki _-u3	Ummaites	1
disz lugal-sza3-iri	Lugal-šagiri	1
adab ki	of Adab	1
kar	of Kar-	1
disz szu-	Šu-	1
_ensi2 ensi2	_governors	1
iri-sag-rig7 ki	of Irisagrig	1
disz da-da	Dada	1
a-na	To	1
