AKK	ENG	Frequency
MAN	king	7
u	and	5
ina	in	3
šá	who	3
ina	among	3
GÌR NÍTA	governor	2
DINGIR MEŠ	gods	2
ina	with	2
DINGIR MEŠ	of gods	2
GAL MEŠ	great	2
i-di	side	2
ša	whose	2
a-na	to	2
ŠÚ	of world	2
la	cannot	2
la	does not	2
ina	from	2
ge-ru-šá	opponent	1
d 15 MEŠ	goddesses	1
ib-šú-u	exist	1
UD MEŠ	storm-demons	1
i-šu-u	have	1
za-ʾi- ri	fo es	1
ra-ki-pat	who rides	1
áš-ṭu-ti	unyielding	1
⸢ka-bi-sa-at	who treads on	1
mu-nak-ki-pat	who gores	1
ed-da	pointed	1
qar-na-šá	horns	1
šá	whose	1
šá -qu-⸢tú⸣	lo ft y	1
ri-im*-tú	wild cow	1
d EN LÍL-u-ti	of supreme power	1
pi-⸢qí⸣-ti	res po nsibility	1
sa-par-šá	whose net	1
giš-par-ri-šá	whose snare	1
šu-par-ru-ru	widespread	1
tu-šak-ni- šú	makes bow do wn	1
a-li-kàt	who goes	1
TI LA	good health	1
qa-⸢i⸣- šat	gran ts	1
na-piš-ti	life	1
⸢na⸣-ṣi-rat	who p rotects	1
ik-ri-bi	prayers	1
še-⸢ma-at⸣	he ar s	1
un-ni-ni	supplications	1
le-qát	who accepts	1
réme-ni-tum	merciful one	1
⸢an⸣-tum	A ntu	1
ni -ri-ša	her yo ke	1
DÙ-ši-na	all	1
a-na	for	1
KUR KUR	of lands	1
ta-bé-lu-ma	rules over	1
⸢ka⸣-la	of ev erything	1
nap-ḫar	totality	1
le-ʾu-ú-ti	of capable	1
i -na	t o	1
na- ki-ru	ene mies	1
ip-pa-raš-ši-du	escape	1
la	do not	1
⸢šu⸣-qu-ru-ti	valuable	1
šu-nu-⸢ul⸣-lu	is la i d	1
a-a-bi	enemies	1
ta-me-ḫat	who grasps	1
áš-kun-ma	put	1
d a-num	of Anu	1
za-aʾ-⸢nat⸣	is endo w ed with	1
be-let	lady	1
d ZÍB	very competent	1
DINGIR-⸢us-sa⸣	divinity	1
šur-ba-a-ta	greatest	1
be-lut-sa	lordly majesty	1
šu-tu-qát	most outstanding	1
da-ád-me	of settlements	1
⸢kul ⸣-lat	a ll	1
šur-bu-tú	supreme	1
be-el-tu	lady	1
nam-ri-ri	awe-inspiring radiance	1
ma-lat	filled	1
ku-uz-bu	sexual charm	1
mim-ma	of things	1
ta-na-da-a-ti	of praise	1
d iš-tar	Ištar	1
šar-ra -⸢a⸣-ti	of que ens	1
šar-⸢rat⸣	que en	1
i-lá-a-ti	of goddesses	1
šá-ru-uḫ-tum	most splendid	1
d GÉŠ U	Anunnakū	1
d í-gì-gì	Igīgū	1
e-tel-lat	pre-eminent one	1
ṣir-tu	exalted	1
ru-ba-tu	ruler	1
LÍL⸣ d ⸢NIN	s u Mul lis	1
DÙ	all	1
šá	that	1
GARZA MEŠ	divine offices	1
šá-qu-ú	exalted one	1
ḫa-mì-mat	who has gathered to herself	1
LUGAL	of king	1
ut-tak-ka-ru	be altered	1
in-nen-nu-ú	be changed	1
⸢qí⸣-bit-sa	command	1
DINGIR ⸢MEŠ⸣	of gods	1
AMA	mother	1
ši-ma-a-ti	fates	1
mu-šim	who decrees	1
⸢KI⸣-tim	net herworld	1
AN-e	of heaven	1
LUGAL	king	1
LÍL ⸢LÁ⸣ d ⸢EN⸣	of E nli l	1
paṭ	territory	1
ḫi-rat	wife	1
gis-gal-la- šá	place	1
šur-šú-du	is firmly founded	1
rap-šu-ti	wide	1
AN-e	heavens	1
šá	who se	1
KÙ MEŠ	bright	1
bu-ru-um-me	of firmament	1
⸢mar⸣-kas	bond	1
ṣa-bi-ta-at	who holds	1
qaq-qa-ri	netherworld	1
šá-ma-⸢me⸣	of heav e n	1
ṣi-it pi-i -šá	whose pronoun cements	1
ú-še-⸢zi⸣- bu	resc ues	1
mi-gir-i-šá	her favorite	1
ina	With	1
ki-šit-ti	triumph	1
da-na-ni	strength	1
li-i-ti	victory	1
a -a-bi-ia	my en emies	1
a-ta-tab-⸢lak⸣- kat	I constantly over come	1
tal-li-⸢ki⸣	you marc h	1
i-da-a-a	at my side	1
ar-ki-ki	after you	1
at-ta-lak	I follow	1
GAL-ti	great	1
tukul-ti -⸢ki⸣	yo ur support	1
lil-li-ku	walk	1
ga-re-ia	my foes	1
Á II-a-⸢a⸣	at my side	1
ZI -⸢tim	lif e	1
mu-šal-⸢li⸣- mat	that prese rves	1
me-⸢šá⸣-ri	ju s t	1
d LAMMA	lamassu	1
na-ṣi-ru	protective	1
dum-qí	good	1
d ALAD	šēdu	1
DÙ-ia	who had engendered me	1
⸢AD⸣	of fat her	1
GIŠ GU ZA	throne	1
ina	on	1
EDIN	over	1
ŠU II	me	1
šur-šú-diš	firmly	1
ip-pal-su-in-ni-ma	looked upon me	1
ki-du-de-e	kidudû-rites	1
par-ṣe	cultic rites	1
ma-ḫa-zi	cult-centers for	1
za-⸢na⸣-an	pro v ide	1
eš-re-e-ti	sanctuaries	1
šuk-lul	complete	1
ṣir-te	exalted	1
qí-bi -⸢ti⸣-ki	your comman d	1
ina	At	1
iq-bu-u	commanded	1
ni-iš IGI II-šú-nu	their glance	1
SIG₅ MEŠ	benevolent	1
tu- šá-zi-zi-in-ni	You allowed to stand	1
d NIN LÍL	Mull issu	1
AN ŠÁR	Aššur	1
iš-re-e-te	shrines	1
da-ru-te	everlasting	1
UD MEŠ	days	1
ana	for	1
taq-bi-i	you commanded	1
LUGAL-u-ti-ia	my kingship	1
e-peš	exercising	1
ut -tak⸣-ka-ru	be changed	1
⸢la	cannot	1
šá	which	1
⸢tu⸣- še-ši-bi-in-ni	y ou had me placed	1
UGU- ia	over me	1
ša	who	1
a-na-ku	I	1
GEŠTU II-šú	who se mind	1
be-lut-ki	to your lordly majesty	1
ú-ṣal-lu-u	made appeals	1
ú-ša-pu-ma	made resplendent	1
ni-ri-ki	your yoke	1
šá-ʾi-iṭ	who pulls	1
