AKK	ENG	Frequency
ù	and	10
d AMAR UTU	Marduk	7
a-na	for	5
É	temple	4
LUGAL	king	3
ša	of	3
i-na	in	3
šu-a-ti	that	3
ni-ši-im	people	3
ša	who	3
EN	lord	3
ul-tu	from	2
EN MEŠ-e-a	my lords	2
d na-bi-um	of Nabû	2
à-aš-ra-at	shrines	2
ša	whoever	2
it-ti	to	2
ki-i-nu	true	2
ka-a-a-nim	constantly	2
ni-ši-im	of people	2
d na-bi-um	Nabû	2
DINGIR MEŠ	of gods	2
DUMU	son	2
be-lu-ut	dominion	2
la	not	2
ma-a-ti	land	2
i-na i-di-ia	beside me	1
ši-ip-ra-am	allowed	1
dan-dan-ni	almighty one	1
d NÈ ERI₁₁ GAL	Nergal	1
re-še-e-tim	pre-eminent	1
ni-bi-ta	He called	1
it-ta-ba	name	1
ú-ša-li-im	to successfully undertake	1
ú-ša-li-ik	made walk	1
e-te-ep-pu-šu	I did	1
d LAMMA	lamassu	1
du-un-qu	good	1
i-na mim-ma	everything	1
i-na-ar	he killed	1
ú-ša-li-ik	He made march	1
i-bé-lu-ma	had ruled over	1
pí-is-nu-qu	powerless one	1
en-šu-um	weak	1
ú-ša-az-zi-qu	had made suffer	1
a-na-ku	I	1
ma-a-ti	of land	1
EN EN	of lords	1
ka-ab-ti	heavy	1
ni-ri-šu	its yoke	1
i-na	under	1
i-na	with	1
i-da-a-a	at my side	1
e-mu-qu	strength	1
ku-ul-la-at	all	1
ru-qu-te	distant	1
UD MEŠ	days	1
ga-áš-ra-a-ti	powerful	1
aš-šu-ru-ú	Assyrians	1
ga-ri-ia	my opponent	1
ú-ša-am-qì-it	cut down	1
a-a-bi-ia	my enemy	1
mu-uš-te-eʾ-ú	constantly seeks out	1
UD MEŠ da-ru-ú-tim	ever	1
i-na	among	1
iš-ku-na-an-ni	made	1
d taš-me-tum	Tašmētum	1
aš-te-né-eʾ-a	I sought out	1
a-na-ku-ma	I	1
la ma-am-ma-nim	of nobody	1
mé-eṣ-ḫe-ru-ti-ia	my childhood	1
i-na	during	1
ì-nu-um	When	1
d nin-ši-kù	of Ninšiku	1
na-ram	beloved	1
ru-bu-ú	prince	1
ti-ri-iṣ qá-ti	protégé	1
šu-ul-lu-mu	properly administering	1
šar-ra-a-te	of queens	1
šar-rat	queen	1
ṣi-ir-tim	exalted	1
ru-ba-ti	princess	1
d nin-men-na	of Ninmenna	1
bi-nu-ut	creation	1
ni-bit	chosen by	1
É UM RE	shepherd	1
mi-ša-ri-im	of justice	1
pa-ar-ṣi-šu-nu	their rites	1
ki-du-de-šu-un	their kidudû-rites	1
ab-ba-nu-ú	I was created	1
er-ṣe-tim	netherworld	1
KUR	land	1
ib-re-e-ma	he observed	1
lìb-bi-ia	my intention	1
ut-tu-ú	could be found	1
še-ep-šu-nu	them	1
ṣa-aḫ-ri-im	child	1
ia-a-ši	for me	1
i-ba-ar-ru-ú	observes	1
ta-ka-la-at	ingenious behavior	1
ša-me-e	heaven	1
i-ta-ma-a	pondered about	1
lìb-bi	hearts	1
mu-du-ú	who knows	1
d šà-zu	Šazu	1
ba-ša-a	set was	1
uz-na-a-a	my attention	1
mi-ša-ri-am	justice	1
ki-it-ti	truth	1
a-na	on	1
ku-un-ni	making secure	1
ka-bat-ta	mind	1
KUR-ak-ka-di-i	land of Akkad	1
šá	which	1
ap-ru-us-ma	I barred	1
li-na-ru	they may kill	1
iš-da-a-šú	his foundations	1
i-ku-un-na	will endure	1
d EN	Bēl	1
lìb-bi	heart	1
i-ba-ar-ri	observes	1
pí-i-im	mouth	1
i-ḫa-ṭu	examines	1
be-lí	lord	1
ga-ri-ka	your opponent	1
ši-te-eʾ-e-ma	constantly seek out	1
ú-la-bar	will live	1
lìb-bi-ka	your heart	1
ta-aš-du-ud	Do set	1
e	not	1
da-na-ni	power	1
e-mu-qu	might	1
i-na-ab-bu-ú	names	1
ša	whom	1
à-ar-ki-ia	after me	1
a-li-ku	who comes	1
DUMU d EN	Son-of-Bēl	1
da-rí-a-tim	ever	1
lu-ú	or	1
qí-bi-it	command	1
li-iš-ša-ki-in	be established	1
šu-mi-ka	of your name	1
zi-ki-ir	fame	1
qí-bit-su	command	1
in-né-en-nu-ú	be changed	1
la	cannot	1
ša	whose	1
ra-bí-i	great	1
d AMAR UTU	of Marduk	1
i-na	By	1
e-nu-ma	When	1
šu-ku-un	place	1
mu-šar-re-e-ka	your inscribed objects	1
it-ti	with	1
a-mu-úr-ma	find	1
šu-mi-ia	my name	1
ši-ṭi-ir	inscription	1
an-ḫu-us-su	its dilapidated section	1
tu-pa-aš-ša-ḫu	you repair	1
in-na-ḫu-ma	becomes dilapidated	1
DUMU DUMU	grandson	1
lu-ú	either	1
ni-ir-šu-nu	their yoke	1
ši-pir-šú	its work	1
d EN LÍL	of Enlil	1
um-ma-na-at	workmen	1
ad-kam-ma	I mustered	1
ib-ši-ma	I set	1
