AKK	ENG	Frequency
ù	and	8
d AMAR UTU	Marduk	7
be-lí-ia	my lord	4
a-na	to	4
KÙ BABBAR	silver	3
i-na	in	3
KÙ GI	gold	3
šar-ru₄-ti-ia	of my royal majesty	2
tu-up-ši-kam	basket	2
i-na	on	2
ṭi-iṭ-ṭam	mud	2
É	temple	2
ta-li-im-šu	his talīmu-brother	1
re-eš-tu-ù	first-born	1
ak-nu-un-ma	rolled up	1
SIG₄ SIG₄	mud bricks	1
qá-qá-di-ia	my head	1
az-bi-il	carried	1
tu-up-ši-ka-a-te	baskets	1
SA TU-i	mountains	1
ú-si₄-pí-iš-ma	I had made	1
d na-bi-um-ku-du-úr-ra-ú-ṣu-úr	Nebuchadnezzar	1
bu-uk-ra-am	child	1
na-ra-am	beloved	1
ú-ša-az-bil	I made carry	1
li-ib-bi-ia	of my heart	1
še-er-ra-am	child	1
bi-il-la-at	mixed	1
GEŠTIN	wine	1
te-di-iq	ceremonial attire	1
Ì GIŠ	oil	1
ḫi-bi-iš-tim	crushed aromatics	1
it-ti	with	1
um-ma-na-ti-ia	my workmen	1
d na-bi-um-šu-ma-am-li-ši-ir	Nabû-šuma-līšir	1
ṣí-it ŠÀ-ia	my offspring	1
ap-tíq-ma	I fashioned	1
lu-ba-ra-am	garment	1
uš-ši-ša	its foundations	1
ši-pí-ir	craft	1
KA KÙ GÁL-ú-te	of exorcist	1
né-me-qá	wisdom	1
d é-a	of Ea	1
à-aš-ri-im	place	1
ša-a-te	that	1
ú-ul-li-il-ma	I made pure	1
KI GAL-e	socle	1
re-eš-ti-im	original	1
ú-ki-in	firmly set	1
te-me-en-ša	its foundation	1
NA₄ NA₄	stones	1
ti-à-am-te	sea	1
ú-wa-aṣ-ṣi-im	I poured out	1
ú-ka-an-ni-iš	I bowed	1
ṣa-ap-šum	ṣapšu	1
na-we-ru-tim	glistening	1
Ì	oil	1
DÙG GA	fine	1
ŠIM ḪI A	aromatics	1
IM SIG₇ SIG₇	dāmātu-paste	1
ša-ap-la-nim	beneath	1
SIG₄ SIG₄	brickwork	1
ALAM	statue	1
ba-bi-il	carrying	1
te-me-en-na	foundation	1
aš-ta-ak-ka-an	had placed	1
da-du-ú-a	my favorite	1
ki-ša-dam	neck	1
dú-up-pu-su-um	younger brother	1
ti-iz-ka-ar	speak	1
GIŠ AL	hoe	1
SUḪUŠ	foundation	1
la	cannot	1
ut-ta-ak-ka-ra	be altered	1
i-pí-iš-tim	construction	1
li-pí-it qá-ti-ia	my handiwork	1
li-bu-úr	stay in good repair	1
a-na	for	1
da-rí-a-tim	ever	1
ki-ma	Like	1
SIG₄ SIG₄	bricks	1
é-temen-an-ki	of Etemenanki	1
ku-un-na	firmly in place	1
aṣ-ṣi-a-tim	for eternity	1
GIŠ GU ZA-ia	of my throne	1
ṣi-ir-tim	exalted	1
šu-úr-ši-id	firmly secure	1
a-na	until	1
u₄-um	future	1
re-e-qú-te	distant	1
é-temen-an-ki	Etemenanki	1
a-na	on behalf	1
LUGAL	of king	1
mu-ud-di-ši-ka	who renovated you	1
ku-ru-ub	pray	1
e-nu-ma	When	1
ri-se-e-tim	joy	1
i-ra-am-mu-ù	takes up residence	1
qé-re-éb-ka	inside you	1
ša	which	1
qí-bí-ti-ka	your command	1
GIŠ MAR	spade	1
SA TU-im	mountain	1
ú-ša-aṣ-bi-it	I made take up	1
da-mi-iq-ta-am	favorable things	1
e-mi-id-ma	I imposed	1
a-na	as	1
ši-ri-ik-tim	gift	1
aš-ru-uk-šum	gave him	1
GABA RI	replica	1
é-šár-ra	of Ešarra	1
i-na	In	1
ul-ṣi-im	joy	1
ri-si-a-te	happiness	1
e-pú-uš-ma	I built	1
ki-ma	like	1
re-e-si-šu	its superstructure	1
i-na	by	1
ú-ul-li-im	I raised up	1
a-na	For	1
ki-i	like	1
ša	in	1
u₄-um	times	1
ú-ul-lu-tim	earlier	1
ta-ab-ri-a-tim	object of wonder	1
ú-ša-as-sí-im-šu	I made it suitable	1
be-lam	lord	1
e-ep-še-ti-ia	my deeds	1
dam-qá-a-ti	good	1
ḫa-di-iš	with pleasure	1
na-ap-li-is-ma	look upon	1
i-na	Through	1
