AKK	ENG	Frequency
_kusz3	cubits	9
a-na	to	8
sukud	_height	7
_bad3	_wall	6
u3	and	5
u3	Further	4
d na-ra-am- d suen	Naram-Sin	4
d da-gan	Dagan	4
isz-tum	From	4
_sa-tu_-im	of hill	4
d suen	Sin	3
da-ni-im	fortification	3
_lugal	_king	3
eb-la ki	Ebla	3
ar-ma-nam ki	Armanam	2
bad3	_of wall	2
sukud	height	2
ar-ma-nim ki	of Armanum	2
_sa-tu	_Mountain	2
in	by	2
i-di	side	2
da-num2	mighty	2
3 u	30	2
sza	of	2
_bad3	_of wall	2
gesz erin	_of Cedar	2
ka3-ri2-im	of quay	2
da-nim	mighty	1
gesz dupsik	_earth basket	1
a-di3-ma	as far as	1
u-li-si-im ki	Ulišum	1
ni-se11	people	1
sza-at	whom	1
_GIBIL_-isz	for first time	1
i-qi2-su-sum6	had bestowed upon him	1
u-ra-isz-ma	he smote	1
il3-a-ba5	of Ilaba	1
i-di3-nu-ma	did give	1
i-di3-nu-ma	give	1
i3-li2-su	his god	1
i-ig-mu-ur	he conquer	1
i3-nu	When	1
na-si11-u3-nim	they bear	1
a-ma-nam	Amanus	1
_di-ku5	_verdict	1
ri2-da- d iszkur	Rida-Adad	1
qa2-ti-is-su	into his hands	1
sar-ru-ti-su4	of his kingship	1
_buranun	of Euphrates	1
da-nim4	mighty	1
sza	Whereas	1
isz-tum	for	1
si-ki-ti	creation	1
ni-se11	of humankind	1
in	no	1
sar	king	1
sar-ri2	among kings	1
ma-na-ma	ever	1
la	had	1
u-sa-al-pi5-tu	destroyed	1
gesz tukul _-ki	weapon	1
d nergal	of Nergal	1
pa2-da-an	path	1
ip-te-ma	open	1
i7	_River	1
i-di3-sum6	he gave to him	1
a-ma-nam ki	Amanus	1
ti-a-am-tam2	Sea	1
a-li2-tam2	Upper	1
i3-qi2-isz-sum6	he bestowed upon him	1
ma	and	1
gesz tukul_-ki	weapon	1
mu-sa-ar-bi2-i3	exalter	1
qab3-li	in middle	1
ar-ma-nam ki	Armanum	1
ki eb-ka	Ebla	1
en-ar	defeat	1
isz-tum-ma	from	1
pu-ti	mouth	1
su4-ma	he himself	1
ki-ib-ra-tim	of world quarters	1
na-ra-ab-ti-su	of his entryway	1
_iri ki _-lam	city	1
_bad3	wall	1
gal	_great	1
2 gesz2 1 u	130	1
4 u 4 asz	44	1
bad3	_wall	1
3 gesz2	180	1
szu-nigin2	Total	1
6 gesz2 4 u 4 asz	404	1
isz-tum	from	1
qa2-qa2-ri2-im	ground	1
_sag	top	1
ar-ma-num ki	Armanum	1
al-li-ku	I performed	1
e-ni	place	1
_ki_-su	he altered	1
kisal	Courtyard	1
_e2	New	1
gibil	_temple	1
_i7	_river	1
3 gesz2 1 u 6 asz	196	1
2 u	20	1
ka2-ri2-im	of quay	1
2 gesz2 3 u 6 asz	156	1
d suen-i-ri-ba-am	Sin-iribam	1
_gu-la	_great	1
a-ti-ir	I did	1
si-pi2-ir	task	1
i-ik-mi-u3-su4	did capture him	1
ak-mi-ma	I captured	1
in	with	1
_e-si	_diorite	1
_dul3_-su	statue of himself	1
ib-ni-ma	he created	1
_a	it	1
mu-ru	_he dedicated	1
en-ma	Thus	1
_alam	_statue	1
ar-ba-im	four	1
ar-ma-nam	Armanum	1
i-di3-nam-ma	did give me	1
ri2-id- d iszkur	Rid-Adad	1
i-nu-szu	at that time	1
li-li-ik -su4	may go for him	1
tam2-si4-li2	image of myself	1
ab-ni-ma	I created	1
as2-ru-uk	I presented	1
ma-na-ma	no one	1
_mu_-mi	my inscription	1
u-sa-si2-ik	remove	1
_dul3_-mi	my statue	1
ma-ha-ar	before	1
li-zi-iz	let stand	1
sza	which	1
il3-su	his god	1
i-na-di-nu-sum6	shall give to him	1
da-ar	all time	1
