AKK	ENG	Frequency
pa-aṭ	border	3
a-di	as far as	3
MAN	king	3
šá	that	2
a-na	in	2
iš-tu	from	2
URUDU	of copper	2
nam-ri	shining	2
ù	and	2
GAL MEŠ	large	2
šá	which	2
d aš-šur	of Aššur	2
ina	by	2
GIŠ EREN	cedar	2
ša	which	2
KUR ELAM MA KI	of Elam	2
šá	on	2
LÚ šu-ut	who	1
SAG MEŠ-šu	eunuchs of his	1
i-bí-lu-ma	ruled	1
mit-ḫa-riš	all together	1
NI TUK KI	of Dilmun	1
si-ma -a-ti	representa tions	1
ÍD mar-ra-te	of sea	1
GÚ†	shore	1
KUR É- m ia-ki-ni	Bīt-Yakīn	1
ba-šu-ú	there is	1
mal	as much as	1
KUR kal-di	of Chaldea	1
gi-mir	all	1
šap-liš	below	1
ù†	and	1
LÚ EN NAM MEŠ	provincial governors	1
e-mid-su-nu-ti	imposed	1
UGU-šú-nu	over them	1
URU	city	1
GIŠ mu-suk-kan-ni	musukkannu-wood	1
GIŠ TÚG	boxwood	1
GIŠ ESI	ebony	1
AM SI	elephant	1
ZÚ	of ivory	1
É GAL	palace	1
iz-ku-ra	named	1
URU BÀD- m LUGAL-GIN	Dūr-Šarrukīn	1
DÙ-uš-ma	he built	1
NINA ⸢KI⸣	Nineveh	1
iš-tak-ka-nu-ma	set	1
e-le-nu	upstream	1
KUR mu-uṣ-ri	of Mount Muṣri	1
GÌR II	foot	1
i-na	at	1
ṭè-em DINGIR-ma	divine will	1
ki-i	in accordance with	1
u₄-me-šú-ma	At that time	1
ina	upon	1
be-lu-ti-šú	of his lordship	1
ni-ir	yoke	1
e-liš	above	1
URU bu-bé-e	Bubê	1
KUR kár-dun-ía-áš	Karduniaš	1
i-na	with	1
KUR mu-ṣu-ri	of Egypt	1
šá-lam d UTU-ši	Western	1
tam-tim	of Sea	1
MURUB₄	middle	1
KUR ia-ad-na-na	Yadnana	1
d MES	Marduk	1
d AG	Nabû	1
tu-kul-ti	support	1
ša	who	1
KUR	land	1
LUGAL	king	1
URI KI	Akkad	1
⸢EME⸣ GI₇	of Sumer	1
KUR	of land	1
KÁ DINGIR RA KI	of Babylon	1
GÌR NÍTA	governor	1
KUR aš-šur KI	of Assyria	1
kiš-šá-ti	world of	1
m LUGAL-GI NA	of Sargon	1
KUR mu-uš-ki	Musku	1
MAR TU KI	Amurru	1
mi-ṣir	border	1
na-gab	all	1
URU DU₆†- d ḫum-ba	Tīl-Ḫumba	1
GIŠ dup-ra-ni	daprānu-juniper	1
URU dun-ni- d UTU	Dunni-Šamaš	1
ÍD uq-né-e	Uqnû	1
ÍD su†-rap-pi	Surappu	1
ÍD IDIGNA	Tigris	1
a-aḫ	beside	1
a-ši-ib	who live	1
LÚ a-ri-me†	Arameans	1
i-te-e	border	1
DAGAL-tim	wide	1
KUR ra-a-še	Rāši	1
el-li-pí KUR	Ellipi	1
KUR bi-ik-ni	of Mount Bikni	1
ru-qu-ti	distant	1
KUR ma-da-a-a	Medes	1
gu-ti-um KI	Gutium of	1
nap-ḫar	all	1
si-ḫir-ti-šá	its entirety	1
KUR ḫat-ti	Ḫatti	1
GIŠ ŠUR MÌN	cypress	1
LUGAL-ti-šú	his royal	1
GIŠ† ŠIM LI	juniper	1
šá	of	1
ú-šá-aṣ-bi-ta	he had hold	1
šá-a-ri	directions	1
er-bet-ti	four	1
MAḪ MEŠ	magnificent	1
ib-ni-ma	He fashioned	1
nak-liš	skillfully	1
eš-qí	massive	1
KUR-i	mountain	1
NA₄	stone	1
šad-di	mountain	1
as-kup-pi	slabs	1
UDU MEŠ	sheep	1
KÁ MEŠ-šin	for their gates	1
e-mid	he positioned	1
ku-lul	cornice	1
GIŠ dáp-pi	cross-beams	1
ú-kin-ma	he installed	1
pirig-gal-le-e	lion colossi	1
UGU	upon	1
KUR ḫa-ma-ni	of Mount Amanus	1
SI GAR-šin	their door bolt	1
NA₄ ⸢pi⸣-i-⸢li⸣	limestone	1
ku-bur-šú-un	diameter	1
a-di	to	1
⸢É⸣ GAL ⸢MEŠ⸣	palatial halls	1
šá-ti-na	these	1
i- na ⸢qé⸣-reb	inside	1
LÚ ⸢ùr†⸣-ra-ku-ti	of sculptor	1
⸢ši-pir⸣	craft	1
ik-šu-du-ma	he had conquered	1
e⸣-mu-uq	strength	1
⸢ina	by	1
šil-la-an	west	1
ṣi-taš	east	1
da-ád-me	settlements	1
ma-ti-tan	of every land	1
da-⸢ád⸣-me†	of settlements	1
a-na tab†-ra-a-ti	an object of wonder	1
ú-šá-lik	He made	1
ú-šá-as-ḫi-ra	surrounded	1
a-sur-ru-šin	their lower courses	1
ṣe†-ru†-uš-šin	upon	1
ib-šim-ma	He depicted	1
ki-šit-ti qa-ti-šu	that he had conquered	1
bi-ib-lat	product	1
NINDA TA ÀM	nindanu	1
⸢ù⸣	and	1
GIŠ ŠUR MÌN	of cypress	1
KUR ḫat-ti	Hittite	1
É GAL	of palace	1
tam-šil	replica	1
É ⸢ap⸣-pa-a-ti	portico	1
né-reb-⸢šin⸣	in their entrance	1
ú-rat-ta-a	installed	1
ú-rak-kis-ma	He bound	1
me-⸢se⸣-er	band	1
GIŠ mu†-suk-kan-ni	musukkannu-wood	1
GIŠ IG MEŠ	doors	1
li-šá-an	language	1
e-li†-šin ú-šat-ri-ṣa	he roofed them	1
GIŠ EREN	of cedar	1
GIŠ ÙR MEŠ	beams	1
ib-ni-ma	He built	1
qer-bu-uš-šú	inside it	1
iš- tak -⸢ka†⸣- na	He pl ac ed	1
mu-šab	residence	1
a-na	to	1
GIŠ bu-uṭ-ni	terebinth	1
ina	in	1
KUR MAR TU KI	of Amurru	1
1	one	1
mal-tak-ti	full	1
ša	whose	1
šu-ta-ḫu-te	matching	1
GIŠ tim-me	columns	1
4	four	1
nam-ri-ir-ri	radiance	1
ma-lu-ú	filled	1
ip-pat-qu-ma	were cast	1
d nin-á-gal	of Ninagal	1
ši-pir	craft	1
GUN	talents	1
É	bīt	1
1 ŠÁR GÉŠ U 6 UŠ 50 ÀM	4 610	1
šu-ut	that	1
tu-ʾa-a-me	twin	1
UR MAḪ MEŠ	lion colossi	1
8	Eight	1
KÁ ⸢MEŠ⸣-šin	their gates	1
mé-eḫ-ret	in front of	1
ú-še-pi-šá	He had built	1
i-šá-as-su-šú	is called	1
ḫi-la-a-ni	ḫilāni	1
É GAL	Palace	1
