AKK	ENG	Frequency
u3	and	4
na-ra-am- d suen	Naram-Sin	3
LUGAL	king	3
a-ka3-de3 ki	of Agade	3
d nin-gublaga	Ningublaga	2
šubur ki	of Subartum	2
a	not	2
a-di3-ma	up to	2
a-na	to	2
sar	king	1
i-li2-ik-ma	went	1
i-li2-ik	undertaken	1
la	no	1
ma-na-ma	ever	1
sar-ri2	kings	1
in	among	1
DU	he walk	1
su4-a	such	1
ma-hi-ra	rival	1
KASKAL ki	campaign	1
i-li2-ku	he went—	1
tal-ha-dim ki	Talḫadim	1
i3-nu	when	1
u3	Further	1
geš erin	of Cedar	1
geš TIR	Forest	1
KALAM	country	1
pa2-ra-ah-šum2 ki	Parahšum	1
ka3-li2-sa-ma	all	1
elam ki	of Elam	1
KALAM	country of	1
d inanna	Ištar	1
EN EN	lords	1
la	not	1
su4-a	this	1
i-li2-su	his god	1
mah-ri2-iš	Before	1
i3-di3-na-sum6	they grant to him	1
MU-su	name for himself	1
NITA-su	His male	1
li-il-qu3-ta2	pluck up	1
ŠE NUMUN-su	his seed	1
li-su3-ha	tear out	1
SUHUŠ-su	his foundations	1
d utu	Šamaš	1
DUL	of statue	1
id-di3-sum6	did give him	1
be-al	owner	1
u-sa-sa3-ku-ni	shall remove	1
DUB	inscription	1
ša	who	1
A MU RU	dedicated	1
u-sa-ri2-bu	brought in	1
NINDABA-su-nu	their offerings	1
a-li2-a-tim	Upper	1
KUR KUR	of Lands	1
ENSI ENSI	governors	1
sa-pi2-ir	commander	1
