AKK	ENG	Frequency
LUGAL	king	10
é-zi-da	Ezida	7
ù	and	7
ša	of	4
É	house	4
IBILA	heir	4
d AG	Nabû	3
ki-i-ni	true	3
é-sag-íl	Esagil	3
a-na	to	2
pi-i-ka	your mouth	2
qí-bi-ti-ka	your command	2
d e₄-ru₆-ú-a	of Erua	2
i-lit-ti	offspring	2
reš-tu-ú	firstborn	2
é-sag-íl	of Esagil	2
E KI	of Babylon	2
šar-rat	queen	2
m an-ti-ʾu-ku-us	Antiochus	2
m si-lu-uk-ku	Seleucus	2
KUR KUR	of lands	2
DUMU-šú	his son	2
SAG KAL	supreme	1
pa-ti-qát	who forms	1
ṣi-i-ri	supreme	1
IGI GÁL LA	wisest	1
DINGIR MEŠ	of gods	1
muš-tar-ḫu	proud one	1
ša	who	1
a-na	of	1
ta-na-da-a-ti	praise	1
šit-ku-nu	is worthy	1
IBILA	son	1
šar-ra-at	queen	1
d AMAR UTU	Marduk	1
nab-ni-ti	living creatures	1
bar-sìp KI	Borsippa	1
ma-a-ti	of land	1
ú-šu-uz-zu	triumphant	1
na-ki-ri	enemies	1
UGU	over	1
er-ni-it-ti-ía	of my successes	1
ka-šá-du	achievement	1
a-a-bi-ía	of my foe	1
šu-um-qu-ut	downfall	1
ḫa-diš	favorably	1
qí-bit-su	command	1
la in-nen-nu-ú	unalterable	1
ša	whose	1
ṣi-ir-ti	supreme	1
i-na	At	1
nap-li-is-ma	look upon me	1
ad-de-e	I laid	1
qé-reb	in	1
LUGAL-ú-tu	rule	1
a-na-ku	I	1
ina	with	1
KUR ḫa-at-tim	Hatti	1
ina	in	1
SIG₄ ḪI A	bricks	1
e-pé-eš₁₅	build	1
i-nu-ma	When	1
li-iš-šá-kin	be established	1
el-le-ti	pure	1
LÚ ma-ak-ka-du-na-a-a	of Macedonians	1
SAG KAL	foremost	1
é-sag-íl	for Esagil	1
za-ni-in	provider	1
ŠÁR	of world	1
dan-nu	mighty	1
ŠU-MIN-ía	my hands	1
i-na	using	1
šá	which	1
ina	In	1
d AG	of Nabû	1
É	temple	1
uš-šu	foundations	1
MU 43 KAM	year 43	1
UD 20 KAM	twentieth day	1
ITI ŠE	Addaru	1
ub-bi-il	I brought	1
Ì GIŠ	oil	1
uš-šu	of foundations	1
na-de-e	laying	1
a-na	for	1
ub-lam-ma	I decided	1
al-bi-in-ma	I molded	1
ru-uš-ti	finest	1
li-i-ti	victory	1
MU AN NA MEŠ	years	1
mi-šá-ri	just	1
du-un-qí-ía	my good fortune	1
GIŠ GU ZA-ú-a	my throne	1
li-il-bi-ir	lengthy	1
pa-lu-ú-a	my reign	1
i-na	on	1
GIŠ DA-ka	your tablet	1
ṣi-i-ri	exalted	1
mu-kin	preserves	1
pal-lu-uk-ku	boundary	1
AN-e	of heaven	1
u	and	1
KI-tim	earth	1
i-na	In	1
el-li	pure	1
liš-tak-ka-nu	be constantly established	1
KUR KUR MEŠ	lands	1
MU AN NA-ti-ía	my years	1
TA	from	1
ṣi-it	setting	1
d UTU-ši	of sun	1
a-di	to	1
e-re-eb	rising	1
lik-šu-du	I conquer	1
ŠU-MIN-a-a	my hands	1
man-da-at-ti-ši-nu	their tribute	1
lu-us-ni-iq-ma	inventory	1
SIG₅-tì	good fortune	1
šuk-lu-lu	perfect	1
e-re-bi-ka	your entry	1
é-zi-da	to Ezida	1
a-na	upon	1
li-kun	be secure	1
li-mi-da	many	1
pa-le-e	reign	1
ḫi-rat-su	his consort	1
lu-bi-il	I bring	1
bu-a-ri	prosperous	1
ṭu-ub	of happiness	1
še-bé-e	full enjoyment	1
lit-tu-tu	of great old age	1
lu	may	1
ši-ri-ik-ti	gift	1
LUGAL-ú-ti	for kingship	1
šá	of	1
i-na	in	1
si-lu-uk-ku	Seleucus	1
a-na da-ra-a-ti	forever	1
DUMU	Son	1
ru-bé-e	of prince	1
bu-kúr	son	1
u₄-mi-ía	my days	1
i-na	at	1
li-ri-ku	be long	1
uš-tam-sa-ku	be annulled	1
la	cannot	1
ša	which	1
kit-ti	true	1
man-ti-ʾu-ku-us	of Antiochus	1
e-re-bi-ka	you enter	1
d asar-ri	of Marduk	1
ri-šá-a-tú	jubilation	1
ḫi-da-a-tú	rejoicing	1
i-na	with	1
d a-nu-ti-ka	of your supreme divinity	1
a-na	when	1
f as-ta-ar-ta-ni-ik-ku	Stratonike	1
GAL-ú	great	1
