GRC	ENG	Frequency
τὼ δʼ	the	1
ἄνδρα	a man	1
νωλεμέως	implicit	1
ἀώτου	deep	1
χερσὶν	hands	1
ἐλυσθεὶς	inwove	1
ἐμείναμεν	cling	1
ἴτην	bound	1
ἑταίρους	the crew	1
ἁπάντων	of the flock	1
ἐγώ	I	1
συνέεργον	with	1
ἐυστρεφέεσσι	supplied	1
ἑκάτερθεν	Secured each side	1
φέρεσκε	bore	1
μέσῳ	midmost	1
καλοί	Strong	1
πάντας	Each	1
δασύμαλλοι	the fleecy	1
τε μεγάλοι τε	and largest of	1
ἐυτρεφέες	Well fed	1
εἶρος	fair	1
ἔχοντες	with	1
ἰοδνεφὲς	native purple	1
ψυχῆς	lives	1
Κύκλωψ	Cyclop’s	1
ἦσαν	were	1
ἄρσενες ὄιες	the rams	1
γένοιτο	design	1
ἄριστα	deep	1
αὐτὰρ	But	1
βούλευον	revolved	1
δόλους	scheme	1
μῆτιν	thought	1
ὁ μὲν	The	1
τινʼ	labouring	1
εἴ	’Twas	1
αὐτὰρ	In	1
τοῦ	my	1
ἄριστος	the leader	1
ἑτέρω	two	1
τοὺς	The	1
λύγοισιν	osier bands twining bands	1
ἀρίστη	varying counsel	1
μοι	my	1
περὶ	that	1
ὥς	This way	1
τε	and	1
καὶ	and	1
ἐμοὶ	my	1
λύσιν	wrought	1
ὕφαινον	turn’d	1
λασίην	wooly curls	1
γαστέρʼ	fleece	1
ὣς τότε	There	1
ὑπὸ	beneath	1
λαβών	lock	1
ἔην	remain’d	1
ἀρνειὸς μήλων	One ram	1
ἑταίροισιν	my friends	1
αἰνύμενος	we tied	1
σύντρεις	three and three	1
ἥδε	one	1
φαίνετο	ends	1
θυμὸν	bosom	1
βουλή	resolve	1
ἐγὼ	I	1
