GRC	ENG	Frequency
στέρνοισι	fleece	1
πάντων	each	1
ἠριγένεια Ἠώς	Dawn	1
φάνη	spread out	1
ῥοδοδάκτυλος	finger tips of rose	1
ἄρσενα μῆλα	rams	1
ἐξέσσυτο	began to stir	1
νομόνδʼ	for pasture	1
θήλειαι	dams	1
μέμηκον	bleating	1
περὶ	round	1
σηκούς	the pens	1
οὔθατα	udders	1
ἄναξ	master	1
ὀίων	ram	1
οἱ	the	1
ἐπεμαίετο	stroked	1
ἑσταότων	pass	1
οὐκ	never	1
ἐνόησεν	found	1
ὑπʼ	pectoral	1
δέδεντο	riding	1
σφαραγεῦντο	full	1
ἀνήμελκτοι	for milking	1
τειρόμενος	sick	1
ὀδύνῃσι	with pain	1
νήπιος	blundering	1
τὸ δὲ	the	1
ἦμος	When	1
