GRC	ENG	Frequency
ἐγὼ	I	2
ἀλλʼ	But	1
ἀνάλκιδος	immartial	1
προσηύδων	us’d	1
κερτομίοισι	insultance	1
Κύκλωψ	῾Cyclop	1
οὐκ	not	1
ἀνδρὸς	a man	1
ἑταίρους	a guest	1
βοήσας	a voice	1
ἔδμεναι	eat	1
κρατερῆφι βίηφι	monstrous forces	1
κιχήσεσθαι	behind	1
ἔμελλε	were	1
κακὰ ἔργα	ills	1
οὐχ	not	1
Ζεὺς	Jove	1
Κύκλωπα	Cyclop	1
ἀπῆν	having left	1
θεοὶ	the Gods	1
εἴων	stay’d	1
ἐλαύνομεν	drave	1
νῆα	ship’s	1
ἑτάροισι	friends	1
φάνημεν	show’d	1
φύγομεν	Escap’d	1
θάνατον	from death	1
νεῦον	obey’d	1
ἐρετμοῖς	oars	1
ἑκάστῳ	all	1
ἐκέλευσα	bade	1
καλλίτριχα μῆλα	boot	1
βαλόντας	take	1
ἐπιπλεῖν	us’d	1
εἴσβαινον	went	1
ἑξῆς	And	1
τίσατο	sends wreak	1
ἄλλοι	all	1
τοὺς δὲ	our	1
σπῆι	to bear	1
πόλλʼ	them	1
ἐν	in	1
ἁλμυρὸν	savage	1
καθῖζον	sat	1
ὅσσον	one As	1
καὶ	when	1
γλαφυρῷ	know	1
κλαίειν	brake	1
ξείνους	guests	1
ἅζεο	laws	1
ἐσθέμεναι	devour	1
καὶ	And	1
τῷ	therefore	1
ἱκόμεθʼ	command	1
ἔμελλες	thou have	1
στενάχοντο γοῶντες	in tears	1
ἀνὰ	we	1
καὶ	and	1
αἶψʼ	up	1
ὄφρʼ	till	1
ἀσπάσιοι	pray’d-for	1
φίλοις	lov’d	1
ἀλλʼ	which	1
ὀφρύσι	shores	1
ἀλλʼ	And	1
κληῖσι	our	1
δὲ	And	1
τότʼ	instantly	1
σχέτλιʼ	rude swain	1
μῆλα	fleece-bearers	1
ταναύποδα	straight-legg’d	1
πολλὰ	all	1
περιτροπέοντες	dispos’d	1
ἐπὶ	over	1
πίονα δημῷ	fat	1
