GRC	ENG	Frequency
τε	and	2
κείμην	embrac’d	1
γαστέρʼ	belly	1
νῶτα	back	1
ἁπάντων	of the den	1
φέρον	March’d	1
αἰνύμενος	yok’d	1
ἐυστρεφέεσσι	cut	1
αὐτὰρ	then	1
τῇς	this	1
λύγοισιν	osiers	1
ἑκάτερθεν	on his each side	1
ἑτέρω	more	1
φέρεσκε	bore	1
σύντρεις	Three	1
μέσῳ	mid	1
λασίην	fleecy	1
μεγάλοι	great	1
ψυχῆς	Life	1
ἐγὼ	I	1
βούλευον	contending	1
ὄχʼ	so eminent	1
θανάτου	death	1
ἑταίροισιν	friends	1
ὕφαινον	wove	1
δασύμαλλοι	fleecy	1
χερσὶν	hands	1
ἰοδνεφὲς	violet	1
ἄνδρα	man	1
ἐγώ	I	1
ἄριστος	fairest	1
ἐμείναμεν	hung	1
τότε	mind	1
ὑπὸ ἐλυσθεὶς	under-crept	1
ἐυτρεφέες	Fat	1
Ἠῶ δῖαν	morning	1
ἴτην	about	1
ἔπι Κύκλωψ πέλωρ	learn’d-in-villainy	1
τοὺς	a	1
μὲν	still	1
εἶρος	sheep	1
ὁ	the	1
τὼ	the	1
σώοντες	for defence	1
συνέεργον	with	1
λαβών	wrapt me	1
θεσπεσίοιο	rich	1
ἀώτου	in	1
νωλεμέως	fast	1
στρεφθεὶς ἐχόμην	arm’d	1
ὣς	as	1
εὗδε	did sleep	1
ἔχοντες	did	1
καλοί	most fair	1
ἐμοὶ	I	1
εὑροίμην	get deliver’d	1
ὅπως	To	1
γένοιτο	invent	1
εἴ τινʼ λύσιν	what	1
ἠδʼ	and	1
αὐτῷ	me	1
πάντας	all	1
ἦσαν	lay there	1
δόλους	wiles	1
ὥς	this	1
περὶ	being the subject	1
ἦεν	did	1
βουλή	approve	1
ἄρσενες ὄιες	rams	1
αὐτὰρ	But	1
