GRC	ENG	Frequency
Διόνυσος	Dionysus	18
Πενθεύς	Pentheus	17
σε	thee	3
εἰς	to	2
τίνα	What	2
δʼ	and	2
ἐγὼ	I	2
ἐς	to	2
κάρᾳ	thine head	1
πρόθυμος	desire	1
εὖ	Well	1
εἶπας	said	1
πάλαι	long ere	1
Διόνυσος	Dionyse	1
ἡμᾶς	me	1
πῶς	how	1
νεβροῦ δέρας	the fawn-skin	1
στελῶ	will array	1
στικτὸν	dappled	1
ἔσω	Within	1
μολών	take thy way	1
στολήν	array	1
ἦ θῆλυν	The woman ' s	1
καὶ	and	1
μίτρα	A snood	1
στολὴν	garb	1
βαλεῖν	wilt thou bestow	1
ἀμφὶ	About	1
κτάνωσιν	slay dead	1
θύρσον	the wand	1
καί	And	1
ταναὸν	long	1
κόμην	a tress	1
σῷ	thy	1
ἐκτενῶ	dangling	1
τὸ δεύτερον	next	1
πέπλοι	The Robe	1
ποδήρεις	falling to thy feet	1
ἐπὶ	on	1
ἐμὸν	me	1
ἠπιώτατος	most soft of mood	1
ἀνὴρ	man	1
ἔρωτα	longing	1
πικρά	grieve	1
εἰσίδοιμʼ	To see	1
λυπρῶς ἂν	twould grieve	1
ἐξῳνωμένας	flown with wine	1
νιν	them	1
πέπτωκας	Thou art to fall	1
εἰς	To	1
μέγαν	such great	1
ἅ	as	1
μυρίον σταθμόν	all	1
χρυσοῦ	The gold	1
σφʼ	them	1
βούλῃ	thou wouldst fain	1
ἰδεῖν	behold	1
ὄρεσι	the hill	1
ἐν	on	1
σοι	thee	1
ἴδοις	A sight	1
ἐνδῦναι	wear	1
κἀπιχειρήσεις	try	1
ἀνδρὸς	man	1
γυναῖκας	a woman	1
στεῖλαί	To gird	1
πέπλους	robe	1
βυσσίνους	of fine-linen	1
σε	thou	1
ἄγωμεν	Wilt be led By me	1
ὁδῷ	the venture	1
σάφʼ ἴσθι	Yes	1
καλῶς	openly	1
ἐμφανῶς	Well said	1
ἔλθῃς λάθρᾳ	To hide	1
ἐξιχνεύσουσίν	They will track out	1
ἐλάταις	the pines	1
ὑπʼ	among	1
σιγῇ καθήμενος	ambushed	1
οὐκ δυναίμην	I cannot	1
χρὴ	tis best	1
αἷμα	blood	1
τεισώμεθʼ	Grant our vengeance	1
γέλωτα	Loud scorn	1
ἐνδῦναι	to put on	1
στολήν	vesture	1
λύσσαν	of madness	1
ἐνεὶς	instil	1
πρῶτα	First	1
πρόσω	far away	1
τῶν ἀπειλῶν	threats	1
οὐ	not	1
εἶ	thou	1
σὸν	thine	1
Διόνυσε	O Dionyse	1
θανὼν	dies	1
δώσει	pays	1
διʼ	through	1
δεινὸς	bitter	1
ἥξει	He finds	1
γνώσεται	shall he learn	1
δεινότατος	Most fearful	1
ἐν	in	1
θεός	God	1
τέλει	fulness	1
τὸν Διόνυσον	Dionyse	1
Διὸς	God ' s Son	1
ὅνπερ	that	1
ἀγόμενον	led	1
λαβὼν	shall deck	1
μητρὸς	His mother ' s	1
κόσμον	robe	1
προσάψων	to fold	1
Πενθεῖ	On Pentheus	1
εἶμι	I go	1
γυναικόμορφον	in woman ' s guise	1
βάκχας	Bacchae	1
βόλον	the net	1
ὀρθῶς	True	1
θηρᾶν	seek	1
ἐρήμους	Lonely untried	1
ὁδοὺς	Thy path	1
λαθών	Unseen	1
ἄστεως	city	1
κακά	wrath	1
κακοῖς	by wrath	1
ἢ	Than	1
βάκχας	Bacchanals	1
γοῦν	Far	1
σοφώτερον	wiser	1
κατασκοπήν	some place of watch	1
πρῶτον	First	1
μολεῖν	to go	1
ἀνθρώποισι	to man	1
θήσεις	spill	1
ἡγήσομαι	guide	1
μὴ	not	1
πείσομαι	to take	1
στείχοιμʼ	I will go	1
βουλεύμασιν	plan	1
σοῖσι	thy	1
ἢ	Perchance	1
ἢ	perchance	1
ὅπλʼ ἔχων	with lance	1
πορεύσομαι	To march	1
ἐμὸν	mine	1
ἐμοί	against me	1
ἔξεστι	So be it	1
ἃν	what	1
δοκῇ	seemeth best	1
βουλεύσομαι	I will ordain	1
οἴκους	my halls Within	1
ἐλθόντʼ	Forward	1
ὥστε	so	1
ἆ	Ah	1
