"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"549915a9-417a-456c-bc96-76d9a0c3ed58","herodotus_book-2.xml","Αἰγύπτιοι","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[92]/div[1]/p[1]::49;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[92]/div[1]/p[1]::58","PLACE","http://pleiades.stoa.org/places/981503","Ancient Egypt (region)","-1000/0640","19.211408766666665","30.567329633333333","region","VERIFIED","collective|ethnic","","",""
"f4747468-7d40-44cc-9e1f-348a0c440eca","herodotus_book-2.xml","Αἰγύπτιοι","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[92]/div[1]/p[1]::161;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[92]/div[1]/p[1]::170","PLACE","http://pleiades.stoa.org/places/981503","Ancient Egypt (region)","-1000/0640","19.211408766666665","30.567329633333333","region","VERIFIED","collective|ethnic","","",""
"d1289e40-5a49-4d13-ab92-2014cf4a4f5b","herodotus_book-2.xml","Ἕλληνες","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[92]/div[1]/p[1]::233;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[92]/div[1]/p[1]::240","PLACE","http://pleiades.stoa.org/places/1001896","Hellas","-0550/2100","37.5","22.5","province","VERIFIED","collective|ethnic","","",""
"af547330-da08-4275-aa88-9d30e2114238","herodotus_book-2.xml","Αἰγύπτιοι","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[92]/div[2]/p[1]::91;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[92]/div[2]/p[1]::100","PLACE","http://pleiades.stoa.org/places/981503","Ancient Egypt (region)","-1000/0640","19.211408766666665","30.567329633333333","region","VERIFIED","collective|ethnic","","",""
"27fdf210-ff2d-4d76-baa9-c29c8883518d","herodotus_book-2.xml","Νεῖλος","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[93]/div[5]/p[1]::32;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[93]/div[5]/p[1]::38","PLACE","http://pleiades.stoa.org/places/727172","Nilus (river)","-6000/2100","19.211408766666665","30.567329633333333","river","VERIFIED","location","","",""
"078b0167-fa2d-4841-92d5-4021013a2953","herodotus_book-2.xml","Νεῖλος","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[93]/div[6]/p[1]::100;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[93]/div[6]/p[1]::106","PLACE","http://pleiades.stoa.org/places/727172","Nilus (river)","-6000/2100","19.211408766666665","30.567329633333333","river","VERIFIED","location","","",""
"1ffccce1-0cae-41b4-94d9-011281e7db4a","herodotus_book-2.xml","Αἰγυπτίων","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[94]/div[1]/p[1]::57;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[94]/div[1]/p[1]::66","PLACE","http://pleiades.stoa.org/places/981503","Ancient Egypt (region)","-1000/0640","19.211408766666665","30.567329633333333","region","VERIFIED","collective|ethnic","","",""
"5177732e-5b39-4855-8f27-47ca6c31d034","herodotus_book-2.xml","Αἰγύπτιοι","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[94]/div[1]/p[1]::141;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[94]/div[1]/p[1]::150","PLACE","http://pleiades.stoa.org/places/981503","Ancient Egypt (region)","-1000/0640","19.211408766666665","30.567329633333333","region","VERIFIED","collective|ethnic","","",""
"0aec809d-bf40-4538-a7ce-9af42795f065","herodotus_book-2.xml","Ἕλλησι","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[94]/div[2]/p[1]::14;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[94]/div[2]/p[1]::20","PLACE","http://pleiades.stoa.org/places/1001896","Hellas","-0550/2100","37.5","22.5","province","VERIFIED","location","","",""
"9c918ebc-c62f-4842-9880-59fa1e4c0742","herodotus_book-2.xml","Αἰγύπτῳ","from=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[94]/div[2]/p[1]::56;to=/TEI[1]/text[1]/body[1]/div[1]/div[1]/div[94]/div[2]/p[1]::63","PLACE","http://pleiades.stoa.org/places/981503","Ancient Egypt (region)","-1000/0640","19.211408766666665","30.567329633333333","region","VERIFIED","location","","",""
