GRC	ENG	Frequency
οἱ	the	2
τοῦ	his	2
δείσαντες	Scared	1
εἰν	in	1
ὡς ὅτε	As	1
δόρυ	beam	1
ἀνὴρ χαλκεὺς	armourers	1
μέγαν	keen-edged	1
πέλεκυν	pole-axe	1
σκέπαρνον	sword	1
ὕδατι	the lake	1
δίνεον	twirl	1
ἰάχοντα	hisses	1
σμερδαλέον	dreadful	1
πέτρη	rocks	1
περὶ	around	1
ἴαχε	resound	1
ἡμεῖς	we	1
ἀπεσσύμεθʼ	recoiled	1
ὑποσσείουσιν	ply	1
τις	a	1
ἐφύπερθεν	above	1
ἐρεισθεὶς	Guide	1
διεφαίνετο	sparkled	1
ἐγὼν	I	1
ἅψεσθαι	bring	1
ἐν	beneath	1
πυρὶ	burning bed	1
χλωρός	Green	1
περ	as	1
ἐών	it was	1
ἐκ	forth	1
ἑκάτερθε	o’er	1
ἑταῖροι	my fellows	1
ἐνέπνευσεν	Urged	1
μοχλὸν ἐλάινον	The torment	1
ὀξὺν	pointed	1
ὀφθαλμῷ	his visual ball	1
ἐνέρεισαν	let fall	1
ἐγὼ	Myself	1
ἱμάντι	wimble	1
ἐμμενὲς αἰεί	nimbly	1
τρέχει	spins about	1
ὅτε	now	1
πυριήκεα	fiery	1
ὀφθαλμῷ	eye	1
ἐν	In	1
δινέομεν ἑλόντες	he whirls	1
τρυπάνῳ	it	1
μοχλὸς ἐλάινος	stake	1
ἐλαϊνέῳ μοχλῷ	stake	1
καὶ τότʼ	Then	1
οἱ	they	1
ἀμφὶ	form a ring	1
δαίμων	my god	1
ὡς δʼ ὅτʼ	And as	1
ἐξέρυσʼ ὀφθαλμοῖο	He tore	1
αἰνῶς	fiery red	1
τὸ δὲ	it	1
τὸν δʼ	the	1
μοχλὸν	wood	1
μέγα	present	1
μέγʼ ᾤμωξεν	sends groan	1
γλήνης	jelly	1
αἷμα	blood	1
περίρρεε	spouts	1
θερμὸν	boiling	1
βλέφαρʼ	lids	1
ὀφρύας	brows	1
εὗσεν	Singed	1
ἀυτμὴ	bubbles	1
τρυπῷ	scoops	1
ὣς	Thus	1
νήιον ἀνὴρ	shipwright	1
σφαραγεῦντο	crack	1
ῥίζαι	fibres	1
δέ	and	1
ὀφθαλμὸς	eye-ball	1
σίζʼ	hiss’d	1
περὶ	plunging	1
ὁ	The	1
