GRC	ENG	Frequency
εἰς	to	6
τε	and	5
ὄρος	the mountain	4
Διόνυσον	Dionysus	3
τʼ	and	3
ὦ	O	3
ῥεῖ	runs	3
ἐς	to	2
ὅταν	when	2
ἴτε	On	2
Βρόμιος	Bromios	2
θεὸν	the god	2
κισσῷ	with ivy	2
ἴτε	on	2
ὁδῷ	is in the road	2
τίς	Who	2
δὲ	and	2
Ἥρας	Hera	1
ἀφʼ	from	1
στεφάνοις	with garlands	1
δʼ	Then	1
Μοῖραι	the Fates	1
ἁνίκα	when	1
τέλεσαν	brought him to term	1
ἔτεκεν	he gave birth to	1
στεφάνωσέν	crowned him	1
ταυρόκερων	with the horns of a bull	1
ἄγει σκιρτήμασι	leaps and gambols	1
συνερείδει	closing it up	1
κρυπτὸν	hid	1
νιν	him	1
πληγᾷ	under the stroke	1
κεραυνίῳ	lightning s	1
αὐτίκα	Straightway	1
Κρονίδας	Kronos ' son	1
Ζεύς	Zeus	1
δέξατο	received	1
λοχίοις	birth s	1
χρυσέαισιν	golden	1
θαλάμαις	in secret recesses	1
καλύψας	concealed him	1
κατὰ	in	1
μηρῷ	his thigh	1
ἔνθεν	that is why	1
περόναις	with pins	1
δρακόντων	of serpents	1
τροφοὶ	that nurtured	1
μαινάδες	maenads	1
στέφετε	deck	1
ὅστις	when	1
χορεύσει	shall dance	1
πᾶσα	whole	1
γᾶ	the land	1
αὐτίκα	Forthwith	1
ὑβριστὰς	violent	1
νάρθηκας	the bacchic wand	1
ἀμφὶ ὁσιοῦσθʼ	Wrap in holiness	1
πλοκάμων	of wool	1
λευκοτρίχων	white	1
μαλλοῖς	with strands	1
στικτῶν	dappled	1
νεβρίδων	fawnskin	1
ἐνδυτὰ	your garments	1
ἐλάτας	fir	1
ἀμφιβάλλονται	drape with	1
βρύετε	Abound	1
πλοκάμοις	their tresses	1
ἄγραν	snakes	1
θηροτρόφον	beast-eating	1
Θῆβαι	Thebes	1
Σεμέλας	Semele	1
στεφανοῦσθε	be crowned	1
βρύετε	abound	1
ἢ	or	1
μίλακι	in the bryony	1
χλοήρει	green	1
καλλικάρπῳ	with its lovely berries	1
καταβακχιοῦσθε	be consecrate as bacchant	1
κλάδοισι	with boughs	1
δρυὸς	of oak	1
