GRC	ENG	Frequency
ὑπὸ	under	1
ἱέμενος	going	1
χάριν	a pleasure	1
ὑβριστὰς	unholy	1
τρικόρυθες	men with triple plumes	1
ζάθεοί	sacred	1
Κρήτας	Cretan	1
ἔναυλοι	dens	1
Διογενέτορες	birth givers to Zeus	1
ἄντροις	in the caves	1
Κορύβαντες	the Corybantes	1
ηὗρον	made	1
θαλάμευμα	lair	1
μοι	for me	1
τόδε	this	1
κύκλωμα	drum	1
βυρσότονον	with skin stretched over it	1
βακχείᾳ	In Bacchic frenzy	1
κέρασαν	they mixed it	1
Κουρήτων	of the Couretes	1
κερκίδων	shuttles	1
πνεύματι	with the breath	1
θιάσουσ	the revels	1
νάρθηκας	the thyrsoi	1
αὐτίκα	at once	1
γᾶ	the earth	1
πᾶσα	whole	1
χορεύσει	will dance	1
ὅστις	whoever	1
Βρόμιος	is Bromius	1
ἱστῶν	the looms	1
εἰς	To	1
μένει	waits	1
ὄχλος	the throng	1
θηλυγενὴς	of women	1
οἰστρηθεὶς	having been drive mad	1
Διονύσῳ	by Dionysus	1
συντόνῳ	in harmony	1
ἁδυβόᾳ	sweet-sounding	1
τραγοκτόνον	of goats	1
πέσῃ	he falls	1
Διόνυσος	Dionysus	1
χαίρει	delights	1
ἡδὺς	He is sweet	1
ὄρεσιν	the mountains	1
θιάσων	the revels	1
δρομαίων	running	1
ἐκ	from	1
συνῆψαν	they combined it	1
πεδόσε	on the ground	1
ἔχων	having	1
ἐνδυτόν	the clothing	1
νεβρίδος	of deerskin	1
ἀγρεύων	hunting	1
αἷμα	the blood	1
αἷς	in which	1
τριετηρίδων	of the triennial festivals	1
αὐλῶν	of flutes	1
εὐάσμασι	for the shouts	1
θῆκαν	put it	1
ἐς	in	1
χέρα	the hand	1
Ῥέας	of Rhea	1
ματρός	mother	1
κτύπον	a beat	1
Βακχᾶν	of the Bacchantes	1
χορεύματα	the choral dances	1
παρὰ δὲ	nearby	1
μαινόμενοι	raving	1
Σάτυροι	the Satyrs	1
ἐξανύσαντο	accomplished the rites	1
θεᾶς	of the god	1
ματέρος	mother	1
ἐς	with	1
ἄρα	So	1
