UUID,FILE,QUOTE_TRANSCRIPTION,ANCHOR,TYPE,URI,VOCAB_LABEL,VOCAB_TEMPORAL_BOUNDS,LAT,LNG,PLACE_TYPE,VERIFICATION_STATUS,TAGS,Authority Link,First-level tag,Second-level tag,Typology,Visited or referenced,Other,COMMENTS,GROUP_ID,GROUP_ORDER
4d4d8783-1f6a-4fd5-90ba-c9e4f344554e,anabasis_book5_english.txt,the Athenian,char-offset:44156,PLACE,http://pleiades.stoa.org/places/579885,"Athenae|Athenae, Athína",-0750/2100,37.971687,23.726464,settlement,VERIFIED,Athens|person|ethnic|referenced,https://en.wikipedia.org/wiki/Athens,person,ethnic,,referenced,,,,
373a4325-9826-401d-a304-1ba594899dfc,anabasis_book5_english.txt,Samolas the Achaean,char-offset:44174,PERSON,,,,,,,,samolas|person,samolas,person,,,,,,,
49b48e8a-ea03-4015-9dac-efac91f9178a,anabasis_book5_english.txt,the Achaean,char-offset:44182,PLACE,http://pleiades.stoa.org/places/570028,Achaea/Achaia (region),-0750/0300,38.102121472776034,22.224585911364017,region,VERIFIED,Achaea|person|ethnic|region,https://en.wikipedia.org/wiki/Achaea,person,ethnic,region,,,,,
25965f2a-615f-43d8-849d-ca06470918a3,anabasis_book5_english.txt,Xenophon,char-offset:44254,PERSON,,,,,,,,Xenophon|person,https://en.wikipedia.org/wiki/Xenophon,person,,,,,,,
f8c4529a-1f48-49a8-90a0-01b8c9b0e722,anabasis_book5_english.txt,Greek,char-offset:44298,PLACE,http://pleiades.stoa.org/places/1001896,Hellas,-0550/2100,37.5,22.5,province,VERIFIED,Greek|collective|ethnic|region,https://en.wikipedia.org/wiki/Greeks,collective,ethnic,region,,,,,
b6acee98-6a5b-42b3-8731-bf99be9fe859,anabasis_book5_english.txt,Pontus,char-offset:44475,PLACE,http://pleiades.stoa.org/places/857287,Pontus,-0550/0640,40.5,36.5,region,VERIFIED,Pontus|location|region,https://en.wikipedia.org/wiki/Pontus_(region),location,,region,,,,,
76b66bd1-ecda-4748-b46e-9fa4e50d3dff,anabasis_book5_english.txt,Greece,char-offset:44651,PLACE,http://pleiades.stoa.org/places/1001896,Hellas,-0550/2100,37.5,22.5,province,VERIFIED,Greece|location|region,https://en.wikipedia.org/wiki/Ancient_Greece,location,,region,,,,,
f4145c75-f4f6-44e7-8c0d-0a04c42c1889,anabasis_book5_english.txt,Euxine,char-offset:44804,PLACE,http://pleiades.stoa.org/places/1224,Pontus Euxinus,-0750/2100,43.0786852,34.7425505,water-open,VERIFIED,EuxineSea|location|region,https://en.wikipedia.org/wiki/Black_Sea,location,,region,,,,,
b2717a14-2c05-4019-a47e-519a9d6db0b0,anabasis_book5_english.txt,Silanus the Ambraciot,char-offset:44944,PERSON,,,,,,,,Silanus|person,https://en.wikipedia.org/wiki/Silanus_of_Ambracia,person,,,,,,,
fb1e3eb9-6fc5-4b9b-bc1b-a463c9a8c9db,anabasis_book5_english.txt,the Ambraciot,char-offset:44952,PLACE,http://pleiades.stoa.org/places/530794,"Ambracia|Ambracus|Ambracus, Ambracus|Ambrakia/Ambracia, Arta",-0750/0300,39.04107,20.95316,settlement,VERIFIED,Ambracia|person|ethnic|referenced,https://en.wikipedia.org/wiki/Ambracia,person,ethnic,,referenced,,,,
76110b68-9fa4-486c-9d30-74156f4e3df1,anabasis_book5_english.txt,Cyrus,char-offset:44998,PERSON,,,,,,,,Cyrus|person,https://en.wikipedia.org/wiki/Cyrus_the_Younger,person,,,,,,,
013131fc-9f5d-42da-baab-0ee616aaf08c,anabasis_book5_english.txt,Silanus,char-offset:45016,PERSON,,,,,,,,Silanus|person,https://en.wikipedia.org/wiki/Silanus_of_Ambracia,person,,,,,,,
28b7d66b-caaf-408f-b493-53f843f0f890,anabasis_book5_english.txt,Xenophon,char-offset:45166,PERSON,,,,,,,,Xenophon|person,https://en.wikipedia.org/wiki/Xenophon,person,,,,,,,
006b12be-de0d-4183-b773-70183f174d6e,anabasis_book5_english.txt,Silanus,char-offset:45289,PERSON,,,,,,,,Silanus|person,https://en.wikipedia.org/wiki/Silanus_of_Ambracia,person,,,,,,,
29da8dab-981d-4a41-9779-c2aac86db499,anabasis_book5_english.txt,Greece,char-offset:45326,PLACE,http://pleiades.stoa.org/places/1001896,Hellas,-0550/2100,37.5,22.5,province,VERIFIED,Greece|location|region,https://en.wikipedia.org/wiki/Ancient_Greece,location,,region,,,,,
