UUID,FILE,QUOTE_TRANSCRIPTION,ANCHOR,TYPE,URI,VOCAB_LABEL,VOCAB_TEMPORAL_BOUNDS,LAT,LNG,PLACE_TYPE,VERIFICATION_STATUS,TAGS,Authority Link,First-level tag,Second-level tag,Typology,Visited or referenced,Other,COMMENTS,GROUP_ID,GROUP_ORDER
f8580f4d-5a3f-409b-a05d-5b71e9995d89,anabasis_book7_english.txt,Greeks,char-offset:66424,PLACE,http://pleiades.stoa.org/places/1001896,Hellas,-0550/2100,37.5,22.5,province,VERIFIED,Greek|collective|ethnic|region,https://en.wikipedia.org/wiki/Greeks.,collective,ethnic,region,,,,,
d73189b7-5fc1-48f1-bfb2-0ac7410b9335,anabasis_book7_english.txt,Lacedaemonians,char-offset:66466,PLACE,http://pleiades.stoa.org/places/570406,Lacedaemon/Laconia,-0750/0300,37.07624042,22.46082645,region,VERIFIED,Lacedaemon|collective|ethnic|region,https://en.wikipedia.org/wiki/Sparta.,collective,ethnic,region,,,,,
abc72f42-ceb7-4cd2-ba39-3096820708c2,anabasis_book7_english.txt,Lacedaemonians,char-offset:66621,PLACE,http://pleiades.stoa.org/places/570406,Lacedaemon/Laconia,-0750/0300,37.07624042,22.46082645,region,VERIFIED,Lacedaemon|collective|ethnic|region,https://en.wikipedia.org/wiki/Sparta.,collective,ethnic,region,,,,,
963afe5f-72e8-47ac-8d38-c1b4953c9664,anabasis_book7_english.txt,Seuthes,char-offset:66665,PERSON,,,,,,,,Seuthes|person,https://en.wikipedia.org/wiki/Seuthes_II.,person,,,,,,,
0ad35c88-df31-448b-87ce-555db1e37fef,anabasis_book7_english.txt,Greeks,char-offset:67614,PLACE,http://pleiades.stoa.org/places/1001896,Hellas,-0550/2100,37.5,22.5,province,VERIFIED,Greek|collective|ethnic|region,https://en.wikipedia.org/wiki/Greeks.,collective,ethnic,region,,,,,
967e2aad-32a5-498d-99ae-e046cd2affb1,anabasis_book7_english.txt,Lacedaemonians,char-offset:68037,PLACE,http://pleiades.stoa.org/places/570406,Lacedaemon/Laconia,-0750/0300,37.07624042,22.46082645,region,VERIFIED,Lacedaemon|collective|ethnic|region,https://en.wikipedia.org/wiki/Sparta.,collective,ethnic,region,,,,,
18c057be-fd12-494a-8e09-626a465b30d8,anabasis_book7_english.txt,Charminus the Lacedaemonian,char-offset:68663,PERSON,,,,,,,,charminus|person,charminus,person,,,,,,,
7d80117c-b190-4106-8d42-2ecec4096c87,anabasis_book7_english.txt,the Lacedaemonian,char-offset:68673,PLACE,http://pleiades.stoa.org/places/570406,Lacedaemon/Laconia,-0750/0300,37.07624042,22.46082645,region,VERIFIED,Lacedaemon|person|ethnic|region,https://en.wikipedia.org/wiki/Sparta.,person,ethnic,region,,,,,
4e7e5e8a-cec7-4364-b42f-1478c18ab02c,anabasis_book7_english.txt,Polynicus,char-offset:68847,PERSON,,,,,,,,polynicus|person,polynicus,person,,,,,,,
700c2ebe-07f5-4dfb-83f7-152438546662,anabasis_book7_english.txt,Seuthes,char-offset:68863,PERSON,,,,,,,,Seuthes|person,https://en.wikipedia.org/wiki/Seuthes_II.,person,,,,,,,
12ea72d2-286e-42d6-b487-e814d51187ba,anabasis_book7_english.txt,Xenophon,char-offset:68877,PERSON,,,,,,,,Xenophon|person,https://en.wikipedia.org/wiki/Xenophon.,person,,,,,,,
