UUID,FILE,QUOTE_TRANSCRIPTION,ANCHOR,TYPE,URI,VOCAB_LABEL,VOCAB_TEMPORAL_BOUNDS,LAT,LNG,PLACE_TYPE,VERIFICATION_STATUS,TAGS,Authority Link,First-level tag,Second-level tag,Typology,Visited or referenced,Other,COMMENTS,GROUP_ID,GROUP_ORDER
b9c517db-5992-45b1-ad46-f593ac61e5e8,anabasis_book6_english.txt,Heracleots,char-offset:17997,PLACE,http://pleiades.stoa.org/places/844944,"Heraclea|Heraclea/Herakleia, Karadeniz Ereğli",-0550/0640,41.284722,31.414722,settlement,VERIFIED,Heracleia|collective|ethnic|visited,https://en.wikipedia.org/wiki/Heraclea_Pontica.,collective,ethnic,,visited,,,,
6e5c9802-6f6c-463d-b66d-2766e8537883,anabasis_book6_english.txt,Thrace,char-offset:18066,PLACE,http://pleiades.stoa.org/places/501638,Thracia,-0750/0640,40.288041,23.129408,unknown,VERIFIED,Thrace|location|region,https://en.wikipedia.org/wiki/Thrace.,location,,region,,,,,
15f82036-f8ba-4e81-a08e-ea8b079af510,anabasis_book6_english.txt,Xenophon,char-offset:18147,PERSON,,,,,,,,Xenophon|person,https://en.wikipedia.org/wiki/Xenophon.,person,,,,,,,
2cdc7e76-2f36-4572-8e29-182eba1a2a91,anabasis_book6_english.txt,Thrace,char-offset:18219,PLACE,http://pleiades.stoa.org/places/501638,Thracia,-0750/0640,40.288041,23.129408,unknown,VERIFIED,Thrace|location|region,https://en.wikipedia.org/wiki/Thrace.,location,,region,,,,,
40ad8c13-ed6c-4035-87d0-3437fd4f310b,anabasis_book6_english.txt,Heracleia,char-offset:18247,PLACE,http://pleiades.stoa.org/places/844944,"Heraclea|Heraclea/Herakleia, Karadeniz Ereğli",-0550/0640,41.284722,31.414722,settlement,VERIFIED,Heracleia|visited|location,https://en.wikipedia.org/wiki/Heraclea_Pontica.,location,,,visited,,,,
ce276172-dece-4e33-a3af-b3e826d9727a,anabasis_book6_english.txt,Arcadians,char-offset:18373,PLACE,http://pleiades.stoa.org/places/570102,Arcadia,-0750/0300,37.56741927,22.1653231,region,VERIFIED,Arcadia|collective|ethnic|region,https://en.wikipedia.org/wiki/Arcadia_(region).,collective,ethnic,region,,,,,
d71cd846-37ce-4363-91f7-134a15bd7e65,anabasis_book6_english.txt,Calpe Harbour,char-offset:18414,PLACE,http://pleiades.stoa.org/places/511285,"Kalpe|Kalpe, Kirpe",-0550/0300,41.1435155,30.1965195,settlement,VERIFIED,Calpe|location|referenced,https://en.wikipedia.org/wiki/Calpe_(Bithynia).,location,,,referenced,,,,
a4ac95e6-fe44-43ce-949e-2ab1ed4e68ba,anabasis_book6_english.txt,Thracians,char-offset:18912,PLACE,http://pleiades.stoa.org/places/501638,Thracia,-0750/0640,40.288041,23.129408,unknown,VERIFIED,Thrace|collective|ethnic|region,https://en.wikipedia.org/wiki/Thrace.,collective,ethnic,region,,,,,
d7cfff54-54fd-4d13-9824-feba576a2182,anabasis_book6_english.txt,Arcadians,char-offset:19070,PLACE,http://pleiades.stoa.org/places/570102,Arcadia,-0750/0300,37.56741927,22.1653231,region,VERIFIED,Arcadia|collective|ethnic|region,https://en.wikipedia.org/wiki/Arcadia_(region).,collective,ethnic,region,,,,,
0076a794-f39c-48ba-8e44-6b770377c221,anabasis_book6_english.txt,Smicres,char-offset:19158,PERSON,,,,,,,,smicres|person,smicres,person,,,,,,,
879b0f9e-7ceb-4599-8957-2e8ed815d6cb,anabasis_book6_english.txt,Arcadian,char-offset:19178,PLACE,http://pleiades.stoa.org/places/570102,Arcadia,-0750/0300,37.56741927,22.1653231,region,VERIFIED,Arcadia|collective|ethnic|region,https://en.wikipedia.org/wiki/Arcadia_(region).,collective,ethnic,region,,,,,
48004bb3-1e25-4a78-9e73-47004b9f4326,anabasis_book6_english.txt,Greeks,char-offset:19308,PLACE,http://pleiades.stoa.org/places/1001896,Hellas,-0550/2100,37.5,22.5,province,VERIFIED,Greek|collective|ethnic|region,https://en.wikipedia.org/wiki/Greeks.,collective,ethnic,region,,,,,
ca06f235-3306-4a69-8ffc-fd81a330edd0,anabasis_book6_english.txt,Thracians,char-offset:19374,PLACE,http://pleiades.stoa.org/places/501638,Thracia,-0750/0640,40.288041,23.129408,unknown,VERIFIED,Thrace|collective|ethnic|region,https://en.wikipedia.org/wiki/Thrace.,collective,ethnic,region,,,,,
1dabcbeb-9f2a-4566-a42a-a3ec3d3ea7ce,anabasis_book6_english.txt,Smicres,char-offset:19427,PERSON,,,,,,,,smicres|person,smicres,person,,,,,,,
611b6728-b041-4e4c-8e3d-d1473ce35dad,anabasis_book6_english.txt,Hegesander,char-offset:19562,PERSON,,,,,,,,hegesander|person,hegesander,person,,,,,,,
bcb68d12-214b-4a44-bc45-0d97b5f45242,anabasis_book6_english.txt,Hegesander,char-offset:19606,PERSON,,,,,,,,hegesander|person,hegesander,person,,,,,,,
a48a7d97-a3dd-496e-a8a3-9022061bd2fe,anabasis_book6_english.txt,Thracians,char-offset:19773,PLACE,http://pleiades.stoa.org/places/501638,Thracia,-0750/0640,40.288041,23.129408,unknown,VERIFIED,Thrace|collective|ethnic|region,https://en.wikipedia.org/wiki/Thrace.,collective,ethnic,region,,,,,
66cb5c61-7fb8-4cae-8119-458e02aae886,anabasis_book6_english.txt,Greeks,char-offset:19977,PLACE,http://pleiades.stoa.org/places/1001896,Hellas,-0550/2100,37.5,22.5,province,VERIFIED,Greek|collective|ethnic|region,https://en.wikipedia.org/wiki/Greeks.,collective,ethnic,region,,,,,
ae2da7ed-7ed4-4762-8eaf-55cd77b47bbe,anabasis_book6_english.txt,Greeks,char-offset:20217,PLACE,http://pleiades.stoa.org/places/1001896,Hellas,-0550/2100,37.5,22.5,province,VERIFIED,Greek|collective|ethnic|region,https://en.wikipedia.org/wiki/Greeks.,collective,ethnic,region,,,,,
4cb77dab-2af6-413b-9c04-98834712deb5,anabasis_book6_english.txt,Greeks,char-offset:20356,PLACE,http://pleiades.stoa.org/places/1001896,Hellas,-0550/2100,37.5,22.5,province,VERIFIED,Greek|collective|ethnic|region,https://en.wikipedia.org/wiki/Greeks.,collective,ethnic,region,,,,,
6d05b8ea-d3b9-4610-bd7c-e519152a42da,anabasis_book6_english.txt,Greeks,char-offset:20579,PLACE,http://pleiades.stoa.org/places/1001896,Hellas,-0550/2100,37.5,22.5,province,VERIFIED,Greek|collective|ethnic|region,https://en.wikipedia.org/wiki/Greeks.,collective,ethnic,region,,,,,
44bffcb6-7adc-46b6-92b3-d784b47b771b,anabasis_book6_english.txt,Thracians,char-offset:20639,PLACE,http://pleiades.stoa.org/places/501638,Thracia,-0750/0640,40.288041,23.129408,unknown,VERIFIED,Thrace|collective|ethnic|region,https://en.wikipedia.org/wiki/Thrace.,collective,ethnic,region,,,,,
c5e9e222-b46d-44f8-9df0-63f2c5c7e828,anabasis_book6_english.txt,Thracians,char-offset:20854,PLACE,http://pleiades.stoa.org/places/501638,Thracia,-0750/0640,40.288041,23.129408,unknown,VERIFIED,Thrace|collective|ethnic|region,https://en.wikipedia.org/wiki/Thrace.,collective,ethnic,region,,,,,
93bebaa4-565e-4470-8f51-5d5d84ce7bb1,anabasis_book6_english.txt,Greeks,char-offset:20903,PLACE,http://pleiades.stoa.org/places/1001896,Hellas,-0550/2100,37.5,22.5,province,VERIFIED,Greek|collective|ethnic|region,https://en.wikipedia.org/wiki/Greeks.,collective,ethnic,region,,,,,
2d0ab672-cec0-4551-858e-52f12ca04c8a,anabasis_book6_english.txt,Arcadians,char-offset:20999,PLACE,http://pleiades.stoa.org/places/570102,Arcadia,-0750/0300,37.56741927,22.1653231,region,VERIFIED,Arcadia|collective|ethnic|region,https://en.wikipedia.org/wiki/Arcadia_(region).,collective,ethnic,region,,,,,
5a493d01-6599-45cb-bbfa-897862abde56,anabasis_book6_english.txt,Cheirisophus,char-offset:21027,PERSON,,,,,,,,Cheirisophus|person,https://en.wikipedia.org/wiki/Cheirisophus_(general).,person,,,,,,,
6cb3e635-ef7b-4701-96cf-60bbe6b8e22f,anabasis_book6_english.txt,Calpe Harbour,char-offset:21103,PLACE,http://pleiades.stoa.org/places/511285,"Kalpe|Kalpe, Kirpe",-0550/0300,41.1435155,30.1965195,settlement,VERIFIED,Calpe|location|referenced,https://en.wikipedia.org/wiki/Calpe_(Bithynia).,location,,,referenced,,,,
b970632f-474d-4690-a878-cd175e30c980,anabasis_book6_english.txt,Xenophon,char-offset:21118,PERSON,,,,,,,,Xenophon|person,https://en.wikipedia.org/wiki/Xenophon.,person,,,,,,,
2462dc05-fda7-4be1-8e55-c46097756fc4,anabasis_book6_english.txt,Xenophon,char-offset:21309,PERSON,,,,,,,,Xenophon|person,https://en.wikipedia.org/wiki/Xenophon.,person,,,,,,,
ad3b0a2d-ac57-4469-b708-7bbf36c0851a,anabasis_book6_english.txt,Greek,char-offset:21384,PLACE,http://pleiades.stoa.org/places/1001896,Hellas,-0550/2100,37.5,22.5,province,VERIFIED,Greek|collective|ethnic|region,https://en.wikipedia.org/wiki/Greeks.,collective,ethnic,region,,,,,
ee2c97b5-343e-4b98-8b44-f72a855e53fb,anabasis_book6_english.txt,Greeks,char-offset:21475,PLACE,http://pleiades.stoa.org/places/1001896,Hellas,-0550/2100,37.5,22.5,province,VERIFIED,Greek|collective|ethnic|region,https://en.wikipedia.org/wiki/Greeks.,collective,ethnic,region,,,,,
1ee2d826-5e46-48d3-a9a7-15b38369fecf,anabasis_book6_english.txt,Thracians,char-offset:21524,PLACE,http://pleiades.stoa.org/places/501638,Thracia,-0750/0640,40.288041,23.129408,unknown,VERIFIED,Thrace|collective|ethnic|region,https://en.wikipedia.org/wiki/Thrace.,collective,ethnic,region,,,,,
5e5e5f5b-499c-44df-9a8f-616b6ccc32e9,anabasis_book6_english.txt,Xenophon,char-offset:21582,PERSON,,,,,,,,Xenophon|person,https://en.wikipedia.org/wiki/Xenophon.,person,,,,,,,
959f5ef2-d363-4684-b98c-e0a859e4fbe0,anabasis_book6_english.txt,Arcadians,char-offset:21820,PLACE,http://pleiades.stoa.org/places/570102,Arcadia,-0750/0300,37.56741927,22.1653231,region,VERIFIED,Arcadia|collective|ethnic|region,https://en.wikipedia.org/wiki/Arcadia_(region).,collective,ethnic,region,,,,,
f68e47cb-2f89-4d1a-8e87-00d287c9a5b7,anabasis_book6_english.txt,Heracleia,char-offset:22386,PLACE,http://pleiades.stoa.org/places/844944,"Heraclea|Heraclea/Herakleia, Karadeniz Ereğli",-0550/0640,41.284722,31.414722,settlement,VERIFIED,Heracleia|visited|location,https://en.wikipedia.org/wiki/Heraclea_Pontica.,location,,,visited,,,,
f4380fc2-4c25-4764-9c88-ecb75058d70a,anabasis_book6_english.txt,Chrysopolis,char-offset:22463,PLACE,http://pleiades.stoa.org/places/520995,"Chrysopolis|Chrysopolis, Üsküdar",-0550/0640,41.020639,29.012856,settlement,VERIFIED,Chrysopolis|location|referenced,https://en.wikipedia.org/wiki/%C3%9Csk%C3%BCdar#Chrysopolis.,location,,,referenced,,,,
c71e5c4c-e06b-4abe-8046-b9fc32bd2a6e,anabasis_book6_english.txt,Calpe Harbour,char-offset:22522,PLACE,http://pleiades.stoa.org/places/511285,"Kalpe|Kalpe, Kirpe",-0550/0300,41.1435155,30.1965195,settlement,VERIFIED,Calpe|location|referenced,https://en.wikipedia.org/wiki/Calpe_(Bithynia).,location,,,referenced,,,,
c9ecb27a-a57e-480b-9500-37fb6b932d0e,anabasis_book6_english.txt,Cheirisophus,char-offset:22554,PERSON,,,,,,,,Cheirisophus|person,https://en.wikipedia.org/wiki/Cheirisophus_(general).,person,,,,,,,
